Date,Value,Daily Return,Total Return,adjclose,VLUE Daily Return,VLUE Total Return
2021-12-31,1000000.0,0.0,0.0,108.70963287353516,0.0,0.0
2022-01-03,1010917.2771110536,0.010917277111053503,0.010917277111053503,110.33824157714844,0.014981273145387997,0.014981273145387997
2022-01-04,1023376.8312950134,0.012324998757134775,0.023376831295013334,112.23497009277344,0.01719012817780685,0.032428931328830846
2022-01-05,1029233.4963684082,0.005722882221188774,0.02923349636840822,111.43059539794922,-0.007166881179362594,0.02502963585186091
2022-01-06,1023122.9640731812,-0.005936973793398415,0.02312296407318115,111.69873046875,0.0024062966714231138,0.02749616125272114
2022-01-07,1033215.7583879088,0.009864693364468158,0.03321575838790891,112.06615447998048,0.003289419760534207,0.030876027429418862
2022-01-10,1037520.359092102,0.0041662166582800975,0.03752035909210205,112.1853256225586,0.0010633999456044485,0.03197226094091232
2022-01-11,1042582.457618103,0.004879035367007845,0.04258245761810309,113.0691375732422,0.007878142223851414,0.04010228518367431
2022-01-12,1040823.3419107056,-0.0016872677019872384,0.04082334191070558,113.24788665771484,0.0015808830624259862,0.041746565269511704
2022-01-13,1042823.7464593506,0.0019219443570248629,0.04282374645935061,113.5457992553711,0.0026306239034434853,0.044487008685439866
2022-01-14,1048513.7876351929,0.005456378602003875,0.04851378763519287,114.12177276611328,0.00507260959471334,0.04978528350725098
2022-01-18,1042382.1269525146,-0.00584795427107121,0.04238212695251464,111.8973388671875,-0.01949175731334496,0.029323123530006656
2022-01-19,1037102.7080110168,-0.00506476349218743,0.037102708011016894,109.59345245361328,-0.0205892869026022,0.00813009442416468
2022-01-20,1023682.1195214844,-0.012940462295456534,0.023682119521484468,107.9151840209961,-0.015313583020185706,-0.00730798947194744
2022-01-21,1015032.0516160585,-0.00844995505974977,0.015032051616058473,105.9787368774414,-0.017944158286177125,-0.025121012038286206
2022-01-24,1010909.8223641968,-0.004061181363976263,0.010909822364196797,106.39581298828124,0.003935469728443275,-0.021284405292267383
2022-01-25,1018004.5909646606,0.007018201271278057,0.01800459096466067,105.8099136352539,-0.005506789567855108,-0.0266739861191011
2022-01-26,1007748.6980012512,-0.010074505610717321,0.007748698001251109,104.86650848388672,-0.008916037438791213,-0.03535219729901262
2022-01-27,1010764.6699899292,0.002992781826123725,0.010764669989929088,103.7542953491211,-0.010605989947081396,-0.04558324219693333
2022-01-28,1012234.555350647,0.001454231043445997,0.01223455535064688,105.363037109375,0.015505302742798932,-0.030784721424396144
2022-01-31,1014810.8527330016,0.0025451584998124055,0.014810852733001534,106.56462860107422,0.011404298173864014,-0.019731501392855177
2022-02-01,1024357.6588166808,0.009407473380845799,0.024357658816680727,107.00157928466795,0.0041003350673651795,-0.01571207209258285
2022-02-02,1030256.7774575806,0.005758846619758007,0.030256777457580597,107.99462890625,0.009280700604802572,-0.006577190524752696
2022-02-03,1018044.7422746276,-0.011853389805490333,0.01804474227462749,106.63414764404295,-0.012597675236127537,-0.01909200845068315
2022-02-04,1010867.159022522,-0.007050361299512753,0.010867159022522,105.74040222167967,-0.008381418542835917,-0.02731340887987055
2022-02-07,1013345.8880836486,0.002452081897213354,0.01334588808364856,106.13761901855467,0.0037565281437292875,-0.02365948432529963
2022-02-08,1023941.8862907408,0.010456447627305687,0.023941886290740788,106.89234161376952,0.007110792593556292,-0.016716929417651016
2022-02-09,1027960.72835083,0.00392487319241086,0.027960728350830077,108.5408172607422,0.015421831181592571,-0.0015529038994119837
2022-02-10,1012974.761583252,-0.014578345606276466,0.012974761583252059,107.09095001220705,-0.013357806630958091,-0.014889967140365279
2022-02-11,1009991.9411029052,-0.0029446148052936216,0.009991941102905244,105.9290771484375,-0.010849402901338623,-0.02557782278901033
2022-02-14,1001741.5561421204,-0.008168763160402492,0.0017415561421203485,104.98567962646484,-0.008905935436883672,-0.03425596378751905
2022-02-15,1007813.8133708192,0.006061700437070883,0.007813813370819211,106.68379974365234,0.01617477853388527,-0.018635267881361717
2022-02-16,1004215.9255000304,-0.0035699926147618743,0.004215925500030471,106.7036590576172,0.00018615116833653467,-0.018452585689913592
2022-02-17,994215.85918396,-0.009958083776744564,-0.005784140816039951,104.99561309814452,-0.01600737945219277,-0.034164587601093754
2022-02-18,987499.2783352662,-0.006755656517294706,-0.012500721664733816,104.37991333007812,-0.005864052315127322,-0.03982829698720358
2022-02-22,982489.3597142028,-0.005073339020064016,-0.017510640285797185,103.06908416748048,-0.012558251111518315,-0.05188637434381249
2022-02-23,978732.4336811828,-0.003823884702540581,-0.02126756631881721,101.77811431884766,-0.012525286889471965,-0.06376176950897372
2022-02-24,971921.811958008,-0.006958614518943529,-0.028078188041992025,102.12567901611328,0.0034149256899846936,-0.060564585523724124
2022-02-25,1002695.0681240844,0.03166227549115441,0.0026950681240844876,104.82678985595705,0.026448889895924976,-0.03571756168190843
2022-02-28,1000237.4381459046,-0.002451024300715643,0.00023743814590448942,104.27068328857422,-0.005305004266056179,-0.040833084130868946
2022-03-01,993598.6294300844,-0.006637232783574087,-0.006401370569915632,102.31436157226562,-0.018761953548289134,-0.058828929251461326
2022-03-02,1014171.1681645204,0.020705079621774702,0.014171168164520465,105.39282989501952,0.03008833046941839,-0.030510663046522946
2022-03-03,1021687.5361912536,0.007411340671749311,0.02168753619125363,104.8863754272461,-0.004805397751231233,-0.03516944492616181
2022-03-04,1026140.6941197204,0.004358629982966988,0.02614069411972042,103.64505767822266,-0.011834880783772261,-0.04658809952200149
2022-03-07,1020194.684712677,-0.005794536208452494,0.020194684712677047,100.84464263916016,-0.0270192819782753,-0.07234860450245983
