Date,Value,Daily Return,Total Return,adjclose,IYC Daily Return,IYC Total Return
2021-12-31,1000000.0,0.0,0.0,83.8989486694336,0.0,0.0
2022-01-03,1025955.0069789886,0.02595500697898867,0.02595500697898867,85.18739318847656,0.0153570996952479,0.0153570996952479
2022-01-04,1013284.2681617736,-0.012350189560968339,0.013284268161773527,84.93769836425781,-0.002931124135543195,0.012380961994135964
2022-01-05,956130.2792835236,-0.05640469380022506,-0.043869720716476435,82.7802963256836,-0.02539981751474052,-0.0133333296959125
2022-01-06,945487.5679244996,-0.011131026377492304,-0.05451243207550038,82.57054901123047,-0.0025337830832099506,-0.015833329013896114
2022-01-07,932143.532333374,-0.014113390851259844,-0.06785646766662601,81.65165710449219,-0.011128567240279663,-0.026785693987607107
2022-01-10,936606.9802856444,0.004788369813710336,-0.06339301971435563,80.78269958496094,-0.010642252102969763,-0.03714288598240778
2022-01-11,946885.2123165132,0.010973900736607867,-0.053114787683486875,81.57174682617188,0.00976752751845189,-0.027738152624903756
2022-01-12,947888.101184845,0.0010591451374324379,-0.05211189881515499,81.73155975341797,0.0019591700982775073,-0.02583332628583057
2022-01-13,920144.7731761932,-0.029268568699167163,-0.07985522682380675,80.5429916381836,-0.014542339811209448,-0.03999998908773761
2022-01-14,917647.3386001588,-0.0027141756915204374,-0.08235266139984121,79.79389190673828,-0.009300619659255105,-0.04892858406211331
2022-01-18,883948.7616100311,-0.036722797062250234,-0.11605123838996889,78.40556335449219,-0.01739893266352699,-0.06547621158622197
2022-01-19,864986.4213104248,-0.021451854590607944,-0.1350135786895752,77.45671081542969,-0.012101852196029661,-0.07678568034727906
2022-01-20,847641.7524738312,-0.020051955047244663,-0.15235824752616878,75.94852447509766,-0.01947134501910186,-0.09476190489181269
2022-01-21,827929.0688343048,-0.023255913930614103,-0.17207093116569516,73.61133575439453,-0.030773326234526777,-0.12261909211249855
2022-01-24,830640.8215637207,0.003275344267394731,-0.16935917843627935,74.5002670288086,0.012076010648414126,-0.11202383092613366
2022-01-25,815431.340883255,-0.018310538424819,-0.18456865911674503,73.13191986083984,-0.01836701024762266,-0.1283332983231581
2022-01-26,814306.3731994629,-0.001379598290364381,-0.18569362680053714,72.63252258300781,-0.006828718277631984,-0.13428566466090186
2022-01-27,771840.2951812744,-0.05215000080539278,-0.2281597048187256,71.66368103027344,-0.013338949526737642,-0.1458333844845634
2022-01-28,790868.6400947571,0.02465321522117958,-0.2091313599052429,73.15189361572266,0.02076662214463343,-0.128095229131594
2022-01-31,840684.0462779999,0.06298821783763509,-0.15931595372200014,75.76873779296875,0.03577274692289922,-0.09690480042245009
2022-02-01,858494.4053020477,0.021185556099108105,-0.14150559469795232,76.51783752441406,0.009886659765828032,-0.08797620544807427
2022-02-02,844196.3607826233,-0.016654790562547594,-0.15580363921737672,76.15827178955078,-0.004699109991817996,-0.09226190557382907
2022-02-03,812783.1570339203,-0.037210778449199844,-0.18721684296607977,74.09075927734375,-0.027147576535352824,-0.11690479496631889
2022-02-04,823465.6820201874,0.013143142662122465,-0.17653431797981267,75.45911407470703,0.018468629701055228,-0.10059523663377434
2022-02-07,823803.4664001465,0.0004101984907620704,-0.17619653359985354,75.37921142578125,-0.0010588866554499532,-0.10154760433555099
2022-02-08,845265.4661407471,0.026052329974265875,-0.15473453385925295,76.4678955078125,0.014442762950673371,-0.0885714693625047
2022-02-09,869616.314950943,0.028808522039088347,-0.13038368504905695,77.75634765625,0.01684958295087191,-0.0732142787317368
2022-02-10,851343.8309288025,-0.021012121907086456,-0.1486561690711975,76.6476821899414,-0.01425819884454771,-0.0864285738318673
2022-02-11,813866.8622913361,-0.04402095519571647,-0.1861331377086639,74.76994323730469,-0.024498313569136676,-0.10880953309793762
2022-02-14,812684.2892971039,-0.0014530300335644508,-0.1873157107028961,74.86981964111328,0.0013357827956563817,-0.10761909620459686
2022-02-15,851811.3940620422,0.04814551638346498,-0.1481886059379578,76.51783752441406,0.022011778460272913,-0.08797620544807427
2022-02-16,855587.6126384735,0.004433162790208334,-0.1444123873615265,76.52783203125,0.00013061669225500339,-0.08785707991677216
2022-02-17,819805.8008270264,-0.04182132990577392,-0.18019419917297363,74.87981414794922,-0.02153488266370618,-0.10749997067329475
2022-02-18,806553.0235462189,-0.016165752020097957,-0.19344697645378117,74.43035125732422,-0.006002457347676349,-0.1128571640321282
2022-02-22,786163.241437912,-0.02528015085562252,-0.21383675856208806,72.42277526855469,-0.026972544867198578,-0.13678566397888547
2022-02-23,747836.2653360367,-0.048751931000709625,-0.25216373466396336,70.4950942993164,-0.026617054677760543,-0.15976188715938622
2022-02-24,797432.3065109253,0.06631938496938616,-0.20256769348907466,72.02325439453125,0.021677538137993002,-0.1415475934232886
2022-02-25,809459.7910442352,0.015082765565311629,-0.19054020895576473,73.41158294677734,0.019276115248015202,-0.12499996589917994
2022-02-28,832821.0800762177,0.02886034524561798,-0.1671789199237823,73.48149871826172,0.0009523806554485592,-0.1241666327931854
2022-03-01,794391.5081224442,-0.04614385115018527,-0.2056084918775558,72.37283325195312,-0.015087681738220504,-0.1373809278933159
2022-03-02,789603.6124792099,-0.006027123394798717,-0.21039638752079015,73.72120666503906,0.018630933079430756,-0.12130952968785569
2022-03-03,763386.082736969,-0.03320340652941378,-0.23661391726303105,72.36283874511719,-0.018425741809867224,-0.13750005342461802
2022-03-04,747937.0185499191,-0.020237550220538858,-0.2520629814500809,71.02445220947266,-0.018495495185846922,-0.15345241703429624
