Date,Value,Daily Return,Total Return,adjclose,MTUM Daily Return,MTUM Total Return
2021-12-31,1000000.0,0.0,0.0,181.40660095214844,0.0,0.0
2022-01-03,997208.0010795592,-0.002791998920440797,-0.002791998920440797,181.79571533203125,0.0021449846799426187,0.0021449846799426187
2022-01-04,996382.4390830994,-0.000827873418149605,-0.003617560916900686,181.16714477539065,-0.003457565297909082,-0.0013199970425604723
2022-01-05,969822.5223999023,-0.026656347644623546,-0.030177477600097702,175.09100341796875,-0.03353887022370994,-0.03481459605676429
2022-01-06,970654.1402053832,0.0008574948367077173,-0.02934585979461679,175.70957946777344,0.0035328831163761176,-0.031404708839000706
2022-01-07,964443.951145172,-0.006397942174230176,-0.03555604885482799,174.09327697753906,-0.009198715830577853,-0.04031454167722648
2022-01-10,971225.48588562,0.00703154883432644,-0.028774514114380034,174.70188903808594,0.003495896401705334,-0.03695958073670691
2022-01-11,978193.1254959106,0.007174069988430176,-0.021806874504089357,176.6674041748047,0.011250680502317145,-0.02612472066875815
2022-01-12,979739.0307884216,0.001580368183151215,-0.020260969211578383,177.38575744628906,0.004066133618930712,-0.022164813654823923
2022-01-13,960178.0723381042,-0.019965478393339287,-0.03982192766189574,172.43704223632812,-0.027898041427927844,-0.04944450019316726
2022-01-14,953252.0961074828,-0.007213220578716428,-0.04674790389251715,171.75857543945312,-0.003934576863973027,-0.05318453387062949
2022-01-18,921777.5705070496,-0.03301805023975979,-0.07822242949295044,167.29873657226562,-0.025965742064271158,-0.07776930004660743
2022-01-19,904632.5508537292,-0.018599953179473938,-0.09536744914627071,165.39309692382812,-0.011390639806860392,-0.08827409776860529
2022-01-20,892836.7674438476,-0.013039309052885195,-0.10716323255615234,163.5672607421875,-0.011039373562740096,-0.09833898059016388
2022-01-21,876755.3632041931,-0.018011583781092355,-0.12324463679580688,159.62623596191406,-0.024094215201691416,-0.12006379523080102
2022-01-24,879388.2021400451,0.003002934508698152,-0.1206117978599549,160.47430419921875,0.005312837405418991,-0.11538883724772075
2022-01-25,870160.4602424621,-0.010493365586582537,-0.12983953975753793,157.95005798339844,-0.015729909086794502,-0.1293036904149777
2022-01-26,879763.59868927,0.01103605471125646,-0.12023640131072999,158.11965942382812,0.0010737662435522655,-0.12836876610935977
2022-01-27,881708.8577026367,0.002211115595445179,-0.11829114229736326,156.15414428710938,-0.012430555086450856,-0.13920362617730864
2022-01-28,906675.731615448,0.028316460353891015,-0.09332426838455199,160.23484802246094,0.026132535604362017,-0.11670883429028145
2022-01-31,921490.44712677,0.01633959639012983,-0.07850955287322992,165.02392578125,0.029887866577673172,-0.0903091457803119
2022-02-01,934839.7066596984,0.014486595682626557,-0.0651602933403016,166.92959594726562,0.011547841665951575,-0.07980417983081867
2022-02-02,952959.6880973816,0.01938298224668733,-0.04704031190261837,168.23660278320312,0.007829689088508784,-0.0725993326583485
2022-02-03,934807.1826757812,-0.019048555409350576,-0.06519281732421878,164.29559326171875,-0.02342539885070627,-0.0943240631852379
2022-02-04,937777.6855162048,0.0031776636888056764,-0.06222231448379523,166.43072509765625,0.012995673186050105,-0.08255419469792358
2022-02-07,937072.8629148864,-0.000751588155918248,-0.06292713708511355,166.0216522216797,-0.002457916804343263,-0.08480920015984972
2022-02-08,937697.4069174194,0.0006664839280376977,-0.06230259308258057,167.1490936279297,0.00679092992487873,-0.07859420357024172
2022-02-09,950993.4835966493,0.014179496051865303,-0.04900651640335074,171.21981811523438,0.024353853191486863,-0.05615442207420629
2022-02-10,938441.7880171204,-0.013198508502979878,-0.061558211982879585,168.01710510253906,-0.018705270499352,-0.07380930891892556
2022-02-11,914063.2768858336,-0.02597764873919073,-0.08593672311416645,163.15818786621094,-0.02891918196878096,-0.10059398605209013
2022-02-14,901954.433322754,-0.013247270587583126,-0.09804556667724595,161.91102600097656,-0.0076438815700566876,-0.10746893910610467
2022-02-15,920287.775344696,0.02032623971302283,-0.07971222465530403,165.702392578125,0.023416358173936613,-0.08656911210284957
2022-02-16,921004.0884855652,0.0007783577703190936,-0.07899591151443486,165.83209228515625,0.0007827268213409511,-0.08585414524745127
2022-02-17,895327.6451872253,-0.027878750615060177,-0.1046723548127747,160.20492553710938,-0.03393291775135232,-0.11687378134950921
2022-02-18,888308.3727415466,-0.007839892449887254,-0.11169162725845339,158.34915161132812,-0.01158375074648621,-0.1271036953440433
2022-02-22,872716.7170637512,-0.01755207555871119,-0.1272832829362488,156.44349670410156,-0.012034512896564431,-0.1376085771797888
2022-02-23,856098.3645971679,-0.01904209251599487,-0.14390163540283207,153.0212860107422,-0.021875058826076765,-0.15647344028508503
2022-02-24,869755.3906629944,0.01595263655509105,-0.13024460933700566,157.35142517089844,0.028297626252155927,-0.1326036409645054
2022-02-25,891037.025306549,0.02446852859093207,-0.10896297469345095,160.4344024658203,0.019592941669091868,-0.11560879469794039
2022-02-28,886415.0908926391,-0.005187140694091541,-0.11358490910736085,160.60400390625,0.0010571388544038385,-0.11467387039232246
2022-03-01,867013.6040724182,-0.02188758632333665,-0.13298639592758177,158.08973693847656,-0.015655070276087923,-0.12853371316858764
2022-03-02,888600.7252478027,0.02489824966296772,-0.11139927475219735,161.59176635742188,0.022152161720075503,-0.10922885104910451
2022-03-03,878236.3084806823,-0.011663750065283862,-0.12176369151931765,159.24710083007812,-0.014509808143056135,-0.12215376951975176
2022-03-04,863207.377587738,-0.017112627601270414,-0.13679262241226198,156.71287536621094,-0.01591379341072774,-0.13612363307800046
