stock,QUAL,MTUM,VLUE,IWM,IVW,IYW,IYC,IVV
CPB,0,0,0,0,0,0,0,0.02509
PBCT,0,0,0,0,0,0,0,0.02498
AIZ,0,0,0,0,0,0,0,0.02497
DXC,0,0,0,0,0,0.09549,0,0.02488
OGN,0,0,0,0,0,0,0,0.02476
NWSA,0,0,0,0,0,0,0.16368,0.02401
FRT,0,0,0,0,0.01917,0,0,0.02292
NCLH,0,0,0,0,0,0,0.1484,0.02182
PNW,0,0,0,0,0,0,0,0.02163
PENN,0,0,0,0,0,0,0.14758,0.02119
ALK,0,0,0,0,0,0,0.13634,0.02073
VNO,0,0,0,0,0,0,0,0.01968
ROL,0.09636,0,0,0,0.01692,0,0.13381,0.01956
PVH,0,0,0,0,0,0,0.13485,0.01856
RL,0,0,0,0,0,0,0.11378,0.01732
NLSN,0,0,0,0,0,0,0.11738,0.0162
IPGP,0,0,0,0,0,0.05286,0,0.01392
UA,0,0,0,0,0.0073,0,0.05587,0.00843
UAA,0,0,0,0,0.00732,0,0.0586,0.00781
NWS,0,0,0,0,0,0,0.05099,0.00662
OVV,0,0,0,0.39951,0,0,0,0
AMC,0,0.25051,0,0.34611,0,0,0,0
M,0,0,0,0.30215,0,0,0,0
THC,0,0,0,0.32071,0,0,0,0
STAG,0,0,0,0.25739,0,0,0,0
CAR,0,0,0,0.24936,0,0,0,0
CHK,0,0,0,0.25967,0,0,0,0
SSB,0,0,0,0.23208,0,0,0,0
VLY,0,0,0,0.21736,0,0,0,0
EME,0,0,0,0.23164,0,0,0,0
AR,0,0,0,0.23372,0,0,0,0
PDCE,0,0,0,0.20404,0,0,0,0
ONB,0,0,0,0.2033,0,0,0,0
GBCI,0,0,0,0.22464,0,0,0,0
ARNA,0,0,0,0.21627,0,0,0,0
TRNO,0,0,0,0.18854,0,0,0,0
BXMT,0,0,0,0.18873,0,0,0,0
ESNT,0,0,0,0.18473,0,0,0,0
UBSI,0,0,0,0.18356,0,0,0,0
RRC,0,0,0,0.18303,0,0,0,0
HWC,0,0,0,0.1802,0,0,0,0
MUR,0,0,0,0.18037,0,0,0,0
CADE,0,0,0,0.20597,0,0,0,0
KRG,0,0,0,0.17771,0,0,0,0
SIGI,0,0,0,0.17696,0,0,0,0
TGNA,0,0,0,0.17451,0,0,0,0
HR,0,0,0,0.17272,0,0,0,0
UMBF,0,0,0,0.16953,0,0,0,0
POR,0,0,0,0.16985,0,0,0,0
WCC,0,0,0,0.20409,0,0,0,0
GT,0,0,0,0.16644,0,0,0,0
BKH,0,0,0,0.16571,0,0,0,0
CMC,0,0,0,0.16467,0,0,0,0
ADC,0,0,0,0.16416,0,0,0,0
ROLL,0,0,0,0.19138,0,0,0,0
TRTN,0,0,0,0.16265,0,0,0,0
AVNT,0,0,0,0.17912,0,0,0,0
RDN,0,0,0,0.15984,0,0,0,0
APG,0,0,0,0.15874,0,0,0,0
LXP,0,0,0,0.15982,0,0,0,0
SUM,0,0,0,0.15843,0,0,0,0
BIPC,0,0,0,0.15767,0,0,0,0
SM,0,0,0,0.15387,0,0,0,0
OGS,0,0,0,0.15235,0,0,0,0
MATX,0,0,0,0.15193,0,0,0,0
ADNT,0,0,0,0.17006,0,0,0,0
SWX,0,0,0,0.1493,0,0,0,0
INDB,0,0,0,0.14504,0,0,0,0
UCBI,0,0,0,0.14168,0,0,0,0
CBU,0,0,0,0.14417,0,0,0,0
BKU,0,0,0,0.14396,0,0,0,0
NJR,0,0,0,0.14501,0,0,0,0
PNM,0,0,0,0.14517,0,0,0,0
ASB,0,0,0,0.14104,0,0,0,0
DOC,0,0,0,0.14253,0,0,0,0
APLE,0,0,0,0.14109,0,0,0,0
OPCH,0,0,0,0.1409,0,0,0,0
GATX,0,0,0,0.13925,0,0,0,0
CATY,0,0,0,0.13595,0,0,0,0
WD,0,0,0,0.15302,0,0,0,0
HOMB,0,0,0,0.13615,0,0,0,0
KFY,0,0,0,0.13377,0,0,0,0
HP,0,0,0,0.13362,0,0,0,0
PCH,0,0,0,0.13205,0,0,0,0
ESGR,0,0,0,0.1304,0,0,0,0
CHX,0,0,0,0.15848,0,0,0,0
ARNC,0,0,0,0.12925,0,0,0,0
BNL,0,0,0,0.12934,0,0,0,0
WSFS,0,0,0,0.12594,0,0,0,0
DBRG,0,0,0,0.12799,0,0,0,0
ABCB,0,0,0,0.1239,0,0,0,0
MAC,0,0,0,0.12564,0,0,0,0
CNX,0,0,0,0.1248,0,0,0,0
FIBK,0,0,0,0.12929,0,0,0,0
CRC,0,0,0,0.12431,0,0,0,0
VRNT,0,0,0,0.12265,0,0,0,0
FLOW,0,0,0,0.1342,0,0,0,0
REZI,0,0,0,0.13919,0,0,0,0
MTH,0,0,0,0.12872,0,0,0,0
ALE,0,0,0,0.12198,0,0,0,0
SR,0,0,0,0.1212,0,0,0,0
EQC,0,0,0,0.12177,0,0,0,0
HASI,0,0,0,0.12721,0,0,0,0
COOP,0,0,0,0.11927,0,0,0,0
GPI,0,0,0,0.11904,0,0,0,0
AEL,0,0,0,0.12045,0,0,0,0
NWE,0,0,0,0.11982,0,0,0,0
AUB,0,0,0,0.11848,0,0,0,0
CNO,0,0,0,0.1171,0,0,0,0
PPBI,0,0,0,0.13147,0,0,0,0
FHI,0,0,0,0.11765,0,0,0,0
PEB,0,0,0,0.11712,0,0,0,0
SFNC,0,0,0,0.12185,0,0,0,0
CVBF,0,0,0,0.11833,0,0,0,0
SBRA,0,0,0,0.11573,0,0,0,0
CWT,0,0,0,0.11651,0,0,0,0
AVA,0,0,0,0.11237,0,0,0,0
CIM,0,0,0,0.11632,0,0,0,0
EPRT,0,0,0,0.11395,0,0,0,0
BCRX,0,0,0,0.1273,0,0,0,0
SMPL,0,0,0,0.12134,0,0,0,0
MLKN,0,0,0,0.11312,0,0,0,0
TMHC,0,0,0,0.12901,0,0,0,0
FULT,0,0,0,0.11146,0,0,0,0
FUL,0,0,0,0.13692,0,0,0,0
FLR,0,0,0,0.11189,0,0,0,0
PBH,0,0,0,0.11088,0,0,0,0
ORA,0,0,0,0.11124,0,0,0,0
EBC,0,0,0,0.14158,0,0,0,0
ABM,0,0,0,0.11113,0,0,0,0
ETRN,0,0,0,0.10976,0,0,0,0
AIMC,0,0,0,0.11047,0,0,0,0
NAVI,0,0,0,0.11038,0,0,0,0
OUT,0,0,0,0.13727,0,0,0,0
RMBS,0,0,0,0.1098,0,0,0,0
OFC,0,0,0,0.10889,0,0,0,0
COLB,0,0,0,0.10629,0,0,0,0
TWNK,0,0,0,0.10778,0,0,0,0
ONTO,0,0,0,0.15714,0,0,0,0
IBTX,0,0,0,0.10936,0,0,0,0
AX,0,0,0,0.11495,0,0,0,0
FCFS,0,0,0,0.11461,0,0,0,0
FBP,0,0,0,0.10407,0,0,0,0
KMT,0,0,0,0.10582,0,0,0,0
ITGR,0,0,0,0.10363,0,0,0,0
KW,0,0,0,0.10479,0,0,0,0
ENS,0,0,0,0.1161,0,0,0,0
SITC,0,0,0,0.10074,0,0,0,0
ELY,0,0,0,0.10125,0,0,0,0
UNF,0,0,0,0.10211,0,0,0,0
RAMP,0,0,0,0.09938,0,0,0,0
ASO,0,0,0,0.09977,0,0,0,0
MGEE,0,0,0,0.09928,0,0,0,0
PIPR,0,0,0,0.09942,0,0,0,0
HUBG,0,0,0,0.09833,0,0,0,0
IRT,0,0,0,0.09727,0,0,0,0
BHVN,0,0,0,0.29217,0,0,0,0
BCC,0,0,0,0.12316,0,0,0,0
WLL,0,0,0,0.09503,0,0,0,0
FRME,0,0,0,0.09213,0,0,0,0
SANM,0,0,0,0.09533,0,0,0,0
SHO,0,0,0,0.09452,0,0,0,0
OTTR,0,0,0,0.09378,0,0,0,0
ABR,0,0,0,0.09454,0,0,0,0
ISBC,0,0,0,0.14488,0,0,0,0
RLJ,0,0,0,0.09289,0,0,0,0
KBH,0,0,0,0.1134,0,0,0,0
PRMW,0,0,0,0.09221,0,0,0,0
MDRX,0,0,0,0.0925,0,0,0,0
SAVE,0,0,0,0.09175,0,0,0,0
BDC,0,0,0,0.09215,0,0,0,0
PTEN,0,0,0,0.09184,0,0,0,0
TROX,0,0,0,0.0908,0,0,0,0
WAFD,0,0,0,0.08975,0,0,0,0
FBC,0,0,0,0.08715,0,0,0,0
SJI,0,0,0,0.09036,0,0,0,0
NHI,0,0,0,0.09021,0,0,0,0
CSTM,0,0,0,0.08974,0,0,0,0
WERN,0,0,0,0.10171,0,0,0,0
FFBC,0,0,0,0.08666,0,0,0,0
MTX,0,0,0,0.08666,0,0,0,0
IBOC,0,0,0,0.08774,0,0,0,0
ACA,0,0,0,0.0869,0,0,0,0
VSH,0,0,0,0.10066,0,0,0,0
NPO,0,0,0,0.08546,0,0,0,0
GHC,0,0,0,0.08597,0,0,0,0
GMS,0,0,0,0.08505,0,0,0,0
BJ,0,0,0,0.33882,0,0,0,0
TRN,0,0,0,0.08615,0,0,0,0
B,0,0,0,0.08542,0,0,0,0
BDN,0,0,0,0.08541,0,0,0,0
CNNE,0,0,0,0.08513,0,0,0,0
AAWW,0,0,0,0.08479,0,0,0,0
MOGA,0,0,0,0.08507,0,0,0,0
CPK,0,0,0,0.08183,0,0,0,0
NSIT,0,0,0,0.13067,0,0,0,0
WSBC,0,0,0,0.08526,0,0,0,0
ARCB,0,0,0,0.08377,0,0,0,0
TPH,0,0,0,0.08923,0,0,0,0
WIRE,0,0,0,0.0833,0,0,0,0
UNIT,0,0,0,0.08389,0,0,0,0
RLGY,0,0,0,0.083,0,0,0,0
BRC,0,0,0,0.08299,0,0,0,0
MANT,0,0,0,0.08265,0,0,0,0
TOWN,0,0,0,0.08043,0,0,0,0
AIN,0,0,0,0.10119,0,0,0,0
NTCT,0,0,0,0.08158,0,0,0,0
GNW,0,0,0,0.07823,0,0,0,0
SASR,0,0,0,0.08071,0,0,0,0
JWA,0,0,0,0.08184,0,0,0,0
ROIC,0,0,0,0.07851,0,0,0,0
XHR,0,0,0,0.08114,0,0,0,0
MARA,0,0,0,0.08596,0,0,0,0
UE,0,0,0,0.07858,0,0,0,0
SCL,0,0,0,0.08677,0,0,0,0
PDM,0,0,0,0.07976,0,0,0,0
THS,0,0,0,0.07878,0,0,0,0
TCBI,0,0,0,0.12738,0,0,0,0
HTLF,0,0,0,0.07787,0,0,0,0
ANF,0,0,0,0.08628,0,0,0,0
EPAY,0,0,0,0.09601,0,0,0,0
ECPG,0,0,0,0.07853,0,0,0,0
IIPR,0,0,0,0.16319,0,0,0,0
MSGE,0,0,0,0.07862,0,0,0,0
RUSHA,0,0,0,0.07922,0,0,0,0
UNFI,0,0,0,0.08308,0,0,0,0
NTB,0,0,0,0.07843,0,0,0,0
MYGN,0,0,0,0.07649,0,0,0,0
EBS,0,0,0,0.07753,0,0,0,0
ODP,0,0,0,0.0768,0,0,0,0
DRH,0,0,0,0.0765,0,0,0,0
VSTO,0,0,0,0.076,0,0,0,0
TRMK,0,0,0,0.07305,0,0,0,0
RNST,0,0,0,0.07524,0,0,0,0
MLI,0,0,0,0.12289,0,0,0,0
FCPT,0,0,0,0.07527,0,0,0,0
BGS,0,0,0,0.07557,0,0,0,0
PRAA,0,0,0,0.07533,0,0,0,0
BANR,0,0,0,0.0721,0,0,0,0
CWEN,0,0,0,0.10175,0,0,0,0
HTH,0,0,0,0.07604,0,0,0,0
WRE,0,0,0,0.07535,0,0,0,0
MAXR,0,0,0,0.07402,0,0,0,0
PRG,0,0,0,0.08885,0,0,0,0
HOPE,0,0,0,0.07315,0,0,0,0
EPC,0,0,0,0.07331,0,0,0,0
MFA,0,0,0,0.07369,0,0,0,0
SBCF,0,0,0,0.07306,0,0,0,0
NMIH,0,0,0,0.07732,0,0,0,0
KN,0,0,0,0.0729,0,0,0,0
ZWS,0,0,0,0.15266,0,0,0,0
HL,0,0,0,0.1018,0,0,0,0
EGBN,0,0,0,0.07136,0,0,0,0
AMKR,0,0,0,0.09037,0,0,0,0
PDCO,0,0,0,0.09589,0,0,0,0
ARI,0,0,0,0.07084,0,0,0,0
PRK,0,0,0,0.07209,0,0,0,0
WOR,0,0,0,0.06969,0,0,0,0
MWA,0,0,0,0.07524,0,0,0,0
TDS,0,0,0,0.06935,0,0,0,0
CBZ,0,0,0,0.06928,0,0,0,0
PFSI,0,0,0,0.07098,0,0,0,0
AKR,0,0,0,0.07148,0,0,0,0
EFSC,0,0,0,0.06884,0,0,0,0
PFS,0,0,0,0.06609,0,0,0,0
AAT,0,0,0,0.06995,0,0,0,0
LKFN,0,0,0,0.07273,0,0,0,0
SFM,0,0,0,0.12379,0,0,0,0
CRS,0,0,0,0.06809,0,0,0,0
MEI,0,0,0,0.06771,0,0,0,0
SJW,0,0,0,0.06817,0,0,0,0
GTN,0,0,0,0.06697,0,0,0,0
TWO,0,0,0,0.06705,0,0,0,0
PGRE,0,0,0,0.06801,0,0,0,0
MDC,0,0,0,0.09254,0,0,0,0
WTS,0,0,0,0.15212,0,0,0,0
CVET,0,0,0,0.0669,0,0,0,0
LC,0,0,0,0.0667,0,0,0,0
DEA,0,0,0,0.06694,0,0,0,0
INT,0,0,0,0.06681,0,0,0,0
ETWO,0,0,0,0.06561,0,0,0,0
CALM,0,0,0,0.06547,0,0,0,0
HNI,0,0,0,0.07262,0,0,0,0
PBF,0,0,0,0.0655,0,0,0,0
CTRE,0,0,0,0.06671,0,0,0,0
XPER,0,0,0,0.06493,0,0,0,0
NWBI,0,0,0,0.06323,0,0,0,0
MNR,0,0,0,0.07487,0,0,0,0
SMCI,0,0,0,0.06634,0,0,0,0
CUBI,0,0,0,0.06894,0,0,0,0
GTLS,0,0,0,0.16368,0,0,0,0
STAR,0,0,0,0.06273,0,0,0,0
JACK,0,0,0,0.0737,0,0,0,0
VCYT,0,0,0,0.06441,0,0,0,0
CIVI,0,0,0,0.07567,0,0,0,0
IOSP,0,0,0,0.09105,0,0,0,0
STC,0,0,0,0.06418,0,0,0,0
KAR,0,0,0,0.06312,0,0,0,0
LILAK,0,0,0,0.0625,0,0,0,0
VBTX,0,0,0,0.07172,0,0,0,0
ESE,0,0,0,0.06782,0,0,0,0
ICFI,0,0,0,0.06215,0,0,0,0
LNTH,0,0,0,0.07343,0,0,0,0
HMN,0,0,0,0.06243,0,0,0,0
SXT,0,0,0,0.1296,0,0,0,0
NBTB,0,0,0,0.06111,0,0,0,0
ATSG,0,0,0,0.06164,0,0,0,0
ALEX,0,0,0,0.06163,0,0,0,0
GVA,0,0,0,0.06098,0,0,0,0
SUPN,0,0,0,0.06099,0,0,0,0
AGIO,0,0,0,0.06014,0,0,0,0
SEAS,0,0,0,0.13181,0,0,0,0
KTOS,0,0,0,0.07583,0,0,0,0
GDOT,0,0,0,0.06543,0,0,0,0
HI,0,0,0,0.13128,0,0,0,0
TBBK,0,0,0,0.05619,0,0,0,0
FBNC,0,0,0,0.0587,0,0,0,0
TVTX,0,0,0,0.06288,0,0,0,0
GCP,0,0,0,0.05818,0,0,0,0
PSMT,0,0,0,0.06355,0,0,0,0
WABC,0,0,0,0.05843,0,0,0,0
BHLB,0,0,0,0.05082,0,0,0,0
TGH,0,0,0,0.06611,0,0,0,0
NXRT,0,0,0,0.07045,0,0,0,0
VRE,0,0,0,0.05755,0,0,0,0
CCXI,0,0,0,0.06131,0,0,0,0
GNL,0,0,0,0.05556,0,0,0,0
TGI,0,0,0,0.05743,0,0,0,0
AWR,0,0,0,0.11979,0,0,0,0
BTU,0,0,0,0.05578,0,0,0,0
ENVA,0,0,0,0.0559,0,0,0,0
SVC,0,0,0,0.05526,0,0,0,0
DAN,0,0,0,0.11986,0,0,0,0
REGI,0,0,0,0.05635,0,0,0,0
SKYW,0,0,0,0.05608,0,0,0,0
EVH,0,0,0,0.07015,0,0,0,0
NUS,0,0,0,0.09945,0,0,0,0
BGCP,0,0,0,0.05609,0,0,0,0
GLNG,0,0,0,0.05599,0,0,0,0
AIR,0,0,0,0.05437,0,0,0,0
CFFN,0,0,0,0.05539,0,0,0,0
FCF,0,0,0,0.05541,0,0,0,0
ZGNX,0,0,0,0.05537,0,0,0,0
VRTV,0,0,0,0.05517,0,0,0,0
COUR,0,0,0,0.05435,0,0,0,0
ILPT,0,0,0,0.05495,0,0,0,0
BUSE,0,0,0,0.05442,0,0,0,0
HCC,0,0,0,0.06083,0,0,0,0
KRA,0,0,0,0.055,0,0,0,0
OII,0,0,0,0.05437,0,0,0,0
LGFB,0,0,0,0.05349,0,0,0,0
KALU,0,0,0,0.06154,0,0,0,0
ANAT,0,0,0,0.0553,0,0,0,0
DDS,0,0,0,0.05341,0,0,0,0
TRS,0,0,0,0.05273,0,0,0,0
PRIM,0,0,0,0.05281,0,0,0,0
FBK,0,0,0,0.05768,0,0,0,0
MHO,0,0,0,0.05222,0,0,0,0
NWN,0,0,0,0.05398,0,0,0,0
NVTA,0,0,0,0.07045,0,0,0,0
AVNS,0,0,0,0.05232,0,0,0,0
BANF,0,0,0,0.05247,0,0,0,0
DLX,0,0,0,0.05277,0,0,0,0
MPLN,0,0,0,0.06085,0,0,0,0
GSHD,0,0,0,0.06185,0,0,0,0
ARCH,0,0,0,0.06485,0,0,0,0
VGR,0,0,0,0.06074,0,0,0,0
GBX,0,0,0,0.05125,0,0,0,0
NNI,0,0,0,0.05231,0,0,0,0
OFG,0,0,0,0.05145,0,0,0,0
RCUS,0,0,0,0.05115,0,0,0,0
LGND,0,0,0,0.05835,0,0,0,0
NYMT,0,0,0,0.05058,0,0,0,0
MC,0,0,0,0.11318,0,0,0,0
OCFC,0,0,0,0.05132,0,0,0,0
LADR,0,0,0,0.05024,0,0,0,0
BBBY,0,0,0,0.05724,0,0,0,0
VECO,0,0,0,0.05022,0,0,0,0
ISEE,0,0,0,0.06365,0,0,0,0
ESRT,0,0,0,0.051,0,0,0,0
NBHC,0,0,0,0.05092,0,0,0,0
SBSI,0,0,0,0.04809,0,0,0,0
UVV,0,0,0,0.04922,0,0,0,0
ECOL,0,0,0,0.05621,0,0,0,0
LTC,0,0,0,0.05034,0,0,0,0
GEF,0,0,0,0.05983,0,0,0,0
CSR,0,0,0,0.04871,0,0,0,0
APTS,0,0,0,0.05058,0,0,0,0
LRN,0,0,0,0.05271,0,0,0,0
TPTX,0,0,0,0.05597,0,0,0,0
RILY,0,0,0,0.04911,0,0,0,0
JELD,0,0,0,0.08109,0,0,0,0
PRLB,0,0,0,0.05856,0,0,0,0
CNOB,0,0,0,0.04895,0,0,0,0
PRA,0,0,0,0.04767,0,0,0,0
TTMI,0,0,0,0.04813,0,0,0,0
SXI,0,0,0,0.04723,0,0,0,0
IHRT,0,0,0,0.08802,0,0,0,0
OXM,0,0,0,0.05108,0,0,0,0
GIII,0,0,0,0.04682,0,0,0,0
STRA,0,0,0,0.0482,0,0,0,0
TCBK,0,0,0,0.0473,0,0,0,0
MLAB,0,0,0,0.04723,0,0,0,0
NOG,0,0,0,0.04725,0,0,0,0
OPK,0,0,0,0.04753,0,0,0,0
LZB,0,0,0,0.04772,0,0,0,0
BRKL,0,0,0,0.04964,0,0,0,0
DCOM,0,0,0,0.04727,0,0,0,0
SAFT,0,0,0,0.04689,0,0,0,0
SSP,0,0,0,0.0477,0,0,0,0
CCO,0,0,0,0.05122,0,0,0,0
PMT,0,0,0,0.05719,0,0,0,0
SKT,0,0,0,0.06451,0,0,0,0
ARGO,0,0,0,0.04654,0,0,0,0
CDEV,0,0,0,0.05308,0,0,0,0
PLUS,0,0,0,0.04663,0,0,0,0
AZZ,0,0,0,0.04583,0,0,0,0
SFL,0,0,0,0.04478,0,0,0,0
IDCC,0,0,0,0.07768,0,0,0,0
CMCO,0,0,0,0.04596,0,0,0,0
OSIS,0,0,0,0.05112,0,0,0,0
NCBS,0,0,0,0.0462,0,0,0,0
PACB,0,0,0,0.08355,0,0,0,0
CASH,0,0,0,0.06381,0,0,0,0
OPI,0,0,0,0.0455,0,0,0,0
CHCO,0,0,0,0.04434,0,0,0,0
ROCK,0,0,0,0.06282,0,0,0,0
ATI,0,0,0,0.11418,0,0,0,0
AHCO,0,0,0,0.04522,0,0,0,0
LAUR,0,0,0,0.04547,0,0,0,0
DK,0,0,0,0.04581,0,0,0,0
IMKTA,0,0,0,0.04382,0,0,0,0
CXW,0,0,0,0.0451,0,0,0,0
BKD,0,0,0,0.0445,0,0,0,0
BIG,0,0,0,0.04446,0,0,0,0
RWT,0,0,0,0.04385,0,0,0,0
SNEX,0,0,0,0.04967,0,0,0,0
ASTE,0,0,0,0.0441,0,0,0,0
LBAI,0,0,0,0.04286,0,0,0,0
FLGT,0,0,0,0.05056,0,0,0,0
KAMN,0,0,0,0.04313,0,0,0,0
TMP,0,0,0,0.04373,0,0,0,0
NOVA,0,0,0,0.05141,0,0,0,0
STBA,0,0,0,0.04449,0,0,0,0
PING,0,0,0,0.04296,0,0,0,0
BRMK,0,0,0,0.04327,0,0,0,0
PFC,0,0,0,0.04399,0,0,0,0
GTY,0,0,0,0.04407,0,0,0,0
AGM,0,0,0,0.04382,0,0,0,0
AROC,0,0,0,0.0433,0,0,0,0
SCHL,0,0,0,0.0419,0,0,0,0
SAH,0,0,0,0.04369,0,0,0,0
APOG,0,0,0,0.04237,0,0,0,0
ENTA,0,0,0,0.047,0,0,0,0
SCS,0,0,0,0.04192,0,0,0,0
SYBT,0,0,0,0.05112,0,0,0,0
NEX,0,0,0,0.04711,0,0,0,0
RPT,0,0,0,0.03915,0,0,0,0
NXGN,0,0,0,0.04057,0,0,0,0
FFWM,0,0,0,0.04196,0,0,0,0
CENTA,0,0,0,0.06667,0,0,0,0
RXDX,0,0,0,0.04643,0,0,0,0
PLAB,0,0,0,0.04137,0,0,0,0
MTRN,0,0,0,0.06693,0,0,0,0
SBGI,0,0,0,0.04831,0,0,0,0
INN,0,0,0,0.04037,0,0,0,0
BANC,0,0,0,0.04085,0,0,0,0
MATW,0,0,0,0.04124,0,0,0,0
DNOW,0,0,0,0.04086,0,0,0,0
IRDM,0,0,0,0.16556,0,0,0,0
EIG,0,0,0,0.04161,0,0,0,0
PUMP,0,0,0,0.03946,0,0,0,0
MSEX,0,0,0,0.06132,0,0,0,0
ATRA,0,0,0,0.04332,0,0,0,0
NVEE,0,0,0,0.05178,0,0,0,0
AIV,0,0,0,0.03968,0,0,0,0
AMSF,0,0,0,0.03935,0,0,0,0
GFF,0,0,0,0.03963,0,0,0,0
FRG,0,0,0,0.0459,0,0,0,0
ATGE,0,0,0,0.03857,0,0,0,0
MMI,0,0,0,0.0435,0,0,0,0
CENX,0,0,0,0.04123,0,0,0,0
RVMD,0,0,0,0.0451,0,0,0,0
GOLF,0,0,0,0.05412,0,0,0,0
WMK,0,0,0,0.03776,0,0,0,0
CSGS,0,0,0,0.07119,0,0,0,0
SCHN,0,0,0,0.04152,0,0,0,0
HA,0,0,0,0.03755,0,0,0,0
GABC,0,0,0,0.0377,0,0,0,0
WASH,0,0,0,0.03758,0,0,0,0
GCO,0,0,0,0.03829,0,0,0,0
SMP,0,0,0,0.03792,0,0,0,0
HMST,0,0,0,0.03703,0,0,0,0
MRTN,0,0,0,0.03761,0,0,0,0
SATS,0,0,0,0.03785,0,0,0,0
CEIX,0,0,0,0.03756,0,0,0,0
AFIN US,0,0,0,0.03771,0,0,0,0
PLAY,0,0,0,0.06916,0,0,0,0
GPRE,0,0,0,0.03616,0,0,0,0
GMRE,0,0,0,0.03634,0,0,0,0
MNRL,0,0,0,0.03749,0,0,0,0
SPTN,0,0,0,0.03611,0,0,0,0
FRO,0,0,0,0.03725,0,0,0,0
MGI,0,0,0,0.03641,0,0,0,0
SWM,0,0,0,0.03697,0,0,0,0
FDP,0,0,0,0.03631,0,0,0,0
CHEF,0,0,0,0.03967,0,0,0,0
CLNE,0,0,0,0.036,0,0,0,0
TSC,0,0,0,0.03652,0,0,0,0
EFC,0,0,0,0.03527,0,0,0,0
MCB,0,0,0,0.03884,0,0,0,0
ASIX,0,0,0,0.03557,0,0,0,0
ADTN,0,0,0,0.03877,0,0,0,0
ZUMZ,0,0,0,0.03521,0,0,0,0
VIVO,0,0,0,0.03969,0,0,0,0
TBI,0,0,0,0.03601,0,0,0,0
GLDD,0,0,0,0.03496,0,0,0,0
STFC,0,0,0,0.03505,0,0,0,0
SIG,0,0,0,0.15395,0,0,0,0
WRLD,0,0,0,0.0349,0,0,0,0
IMAX,0,0,0,0.03835,0,0,0,0
CARS,0,0,0,0.0397,0,0,0,0
HURN,0,0,0,0.03816,0,0,0,0
DFIN,0,0,0,0.03683,0,0,0,0
DRQ,0,0,0,0.03316,0,0,0,0
AMWD,0,0,0,0.03312,0,0,0,0
HBNC,0,0,0,0.03429,0,0,0,0
QCRH,0,0,0,0.03406,0,0,0,0
KURA,0,0,0,0.03445,0,0,0,0
AMTB,0,0,0,0.03452,0,0,0,0
BHE,0,0,0,0.03388,0,0,0,0
NBR,0,0,0,0.03359,0,0,0,0
PLYM,0,0,0,0.03243,0,0,0,0
HFWA,0,0,0,0.03313,0,0,0,0
CTS,0,0,0,0.04305,0,0,0,0
ARRY,0,0,0,0.04346,0,0,0,0
HAE,0,0,0,0.10594,0,0,0,0
DIOD,0,0,0,0.14585,0,0,0,0
UVSP,0,0,0,0.03414,0,0,0,0
NTST,0,0,0,0.03229,0,0,0,0
RC,0,0,0,0.03219,0,0,0,0
PEBO,0,0,0,0.03256,0,0,0,0
MNKD,0,0,0,0.03581,0,0,0,0
PSN,0,0,0,0.03302,0,0,0,0
SRCE,0,0,0,0.03237,0,0,0,0
SLCA,0,0,0,0.03263,0,0,0,0
TUP,0,0,0,0.03228,0,0,0,0
MODV,0,0,0,0.04797,0,0,0,0
AHH,0,0,0,0.03305,0,0,0,0
JRVR,0,0,0,0.03698,0,0,0,0
ABTX,0,0,0,0.03065,0,0,0,0
ACCO,0,0,0,0.03128,0,0,0,0
MD,0,0,0,0.06644,0,0,0,0
COWN,0,0,0,0.03151,0,0,0,0
RPAY,0,0,0,0.05487,0,0,0,0
PACK,0,0,0,0.03712,0,0,0,0
CWENA,0,0,0,0.04047,0,0,0,0
OBNK,0,0,0,0.03824,0,0,0,0
GCI,0,0,0,0.03031,0,0,0,0
GES,0,0,0,0.03533,0,0,0,0
ANGO,0,0,0,0.02986,0,0,0,0
EBIX,0,0,0,0.03048,0,0,0,0
CNDT,0,0,0,0.03028,0,0,0,0
CVCO,0,0,0,0.10054,0,0,0,0
NHC,0,0,0,0.03073,0,0,0,0
BECN,0,0,0,0.11799,0,0,0,0
VREX,0,0,0,0.03425,0,0,0,0
NTGR,0,0,0,0.02929,0,0,0,0
NTUS,0,0,0,0.02915,0,0,0,0
KBR,0,0,0,0.22962,0,0,0,0
PDFS,0,0,0,0.02899,0,0,0,0
WNC,0,0,0,0.03103,0,0,0,0
MRC,0,0,0,0.0296,0,0,0,0
ARR,0,0,0,0.02888,0,0,0,0
DHT,0,0,0,0.02988,0,0,0,0
NPTN,0,0,0,0.02952,0,0,0,0
KELYA,0,0,0,0.02944,0,0,0,0
RRD,0,0,0,0.0291,0,0,0,0
SNBR,0,0,0,0.05623,0,0,0,0
SCSC,0,0,0,0.02905,0,0,0,0
UTL,0,0,0,0.02882,0,0,0,0
NX,0,0,0,0.02805,0,0,0,0
INVA,0,0,0,0.0317,0,0,0,0
STNG,0,0,0,0.029,0,0,0,0
LGFA,0,0,0,0.02954,0,0,0,0
HAFC,0,0,0,0.02877,0,0,0,0
IVR,0,0,0,0.02962,0,0,0,0
BRSP,0,0,0,0.02859,0,0,0,0
CIO,0,0,0,0.02855,0,0,0,0
GEO,0,0,0,0.02847,0,0,0,0
PFBC,0,0,0,0.02907,0,0,0,0
RADI,0,0,0,0.02815,0,0,0,0
SFBS,0,0,0,0.16289,0,0,0,0
FBMS,0,0,0,0.02929,0,0,0,0
