,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-11
DIS,1001.0,154.88999938964844,155044.8893890381,131.75,-0.1493963424419441,131881.75
NET,1001.0,131.5,131631.5,88.72000122070312,-0.32532318463343635,88808.72122192383
MO,500.0,47.38999938964844,23694.99969482422,50.47999954223633,0.06520363351730385,25239.999771118164
PM,1001.0,95.0,95095.0,88.87000274658203,-0.06452628687808393,88958.87274932861
SE,1001.0,223.7100067138672,223933.71672058103,91.04000091552734,-0.5930445747472948,91131.04091644287
KO,1001.0,59.209999084472656,59269.20908355713,57.91999816894531,-0.021786876126901222,57977.91816711426
FANG,1001.0,107.8499984741211,107957.8484725952,129.6699981689453,0.20231803433970375,129799.66816711426
CRM,500.0,254.1300048828125,127065.00244140624,197.8999938964844,-0.2212647460194932,98949.9969482422
ARCC,1001.0,21.190000534057617,21211.190534591675,20.21999931335449,-0.04577636603378532,20240.219312667843
GILD,751.0,72.61000061035156,54530.11045837402,58.0,-0.20121196099079364,43558.0
Cash,1167.1332050323483,1.0,1167.1332050323483,1,0.0,1167.1332050323483
Total,,,1000600.6,,-0.03442366648416306,777713.3204589844
