,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-17
ENJY,21645.0,4.619999885559082,99999.89752292632,3.549999952316284,-0.23160172288907166,76839.74896788597
COIN,396.0,252.3699951171875,99938.51806640624,177.22000122070312,-0.2977770549212422,70179.12048339844
DIS,645.0,154.88999938964844,99904.04960632324,139.47000122070312,-0.09955451113505431,89958.15078735352
GOOGL,34.0,2897.0400390625,98499.361328125,2676.780029296875,-0.07602932883071323,91010.52099609375
RBLX,969.0,103.16000366210938,99962.04354858398,46.34999847412109,-0.5506979756811949,44913.14852142333
CCL,4970.0,20.1200008392334,99996.40417099,19.149999618530277,-0.04821079424667074,95175.49810409547
WMT,691.0,144.69000244140625,99980.79168701172,145.00999450683594,0.00221156997740235,100201.90620422363
DKNG,3640.0,27.46999931335449,99990.79750061034,18.989999771118164,-0.3087003914890448,69123.59916687012
HD,240.0,415.010009765625,99602.40234375,336.3599853515625,-0.18951356006685172,80726.396484375
TWLO,379.0,263.3399963378906,99805.85861206056,150.27999877929688,-0.42933089971462934,56956.119537353516
Cash,3162.835613212585,1.0,3162.835613212585,1,0.0,3162.835613212585
Total,,,1000842.96,,0.018608301449955178,778247.0448662853
