,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-02
ENJY,21645.0,4.619999885559082,99999.89752292632,3.359999895095825,-0.27272727741870484,72727.19772934914
COIN,396.0,252.3699951171875,99938.51806640624,194.5,-0.22930616252663338,77022.0
DIS,645.0,154.88999938964844,99904.04960632324,147.33999633789062,-0.048744290022008974,95034.29763793945
GOOGL,34.0,2897.0400390625,98499.361328125,2691.429931640625,-0.07097247695907294,91508.61767578125
RBLX,969.0,103.16000366210938,99962.04354858398,48.45000076293945,-0.5303412268030472,46948.05073928833
CCL,4970.0,20.1200008392334,99996.40417099,19.020000457763672,-0.0546719848701378,94529.40227508545
WMT,691.0,144.69000244140625,99980.79168701172,136.16000366210938,-0.05895361555993606,94086.56253051758
DKNG,3640.0,27.46999931335449,99990.79750061034,23.190000534057617,-0.1558062936396274,84411.60194396973
HD,240.0,415.010009765625,99602.40234375,327.3699951171875,-0.2111756646494667,78568.798828125
TWLO,379.0,263.3399963378906,99805.85861206056,166.0800018310547,-0.3693324062404938,62944.32069396973
Cash,2319.875613212585,1.0,2319.875613212585,1,0.0,2319.875613212585
Total,,,1000000.0,,0.0026305119216452066,800100.7256672382
