,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
AMZN,209.0,3334.340087890625,696877.0783691406,3334.340087890625,696877.0783691406,0.0
V,1384.0,216.7100067138672,299926.6492919922,216.7100067138672,299926.6492919922,0.0
Cash,3196.2723388671875,1.0,3196.2723388671875,1.0,3196.2723388671875,0.0
Total,,,1000000.0,,1000000.0,0.0
