,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-24
MU,1073.0,93.1500015258789,99949.95163726808,82.94999694824219,-0.10950085250189678,89005.34672546387
TTD,1091.0,91.63999938964844,99979.23933410645,65.33000183105469,-0.28710167758431593,71275.03199768066
FTNT,278.0,359.3999938964844,99913.19830322266,290.3699951171875,-0.19207011672676633,80722.85864257812
TCN,6544.0,15.279999732971191,99992.31825256348,14.140000343322754,-0.07460729120227316,92532.1622467041
TENB,1815.0,55.06999969482422,99952.04944610596,49.47999954223633,-0.10150717602261528,89806.19916915894
UCTT,1743.0,57.36000061035156,99978.48106384276,50.470001220703125,-0.12011853759298974,87969.21212768555
EPAM,149.0,668.4500122070312,99599.05181884766,468.4100036621094,-0.2992594882068247,69793.0905456543
ZIM,1698.0,58.86000061035156,99944.28103637695,57.47999954223633,-0.02344548171602523,97601.03922271729
LSCC,1297.0,77.05999755859375,99946.8168334961,54.34000015258789,-0.2948351690347558,70478.9801979065
FIVE,483.0,206.88999938964844,99927.8697052002,169.74000549316406,-0.17956399055576167,81984.42265319824
Cash,1382.122568969727,1.0,1382.122568969727,1,0.0,1382.122568969727
Total,,,1000565.38,,0.02058559562203688,832550.4660977173
