,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-14
RCL,1300.0,76.9000015258789,99970.00198364258,84.1500015258789,0.09427828161434015,109395.00198364258
CCL,4970.0,20.1200008392334,99996.40417099,22.950000762939453,0.1406560539593833,114061.50379180908
TSLA,94.0,1056.780029296875,99337.32275390624,1049.6099853515625,-0.006784802651960464,98663.33862304688
TTD,1091.0,91.63999938964844,99979.23933410645,75.47000122070312,-0.17645131249064439,82337.77133178711
UAL,2284.0,43.77999877929688,99993.51721191408,46.7400016784668,0.06761084928512306,106754.16383361816
LUV,2334.0,42.84000015258789,99988.56035614014,45.81999969482422,0.06956114686326198,106943.87928771973
ALK,1919.0,52.09999847412109,99979.89707183836,55.790000915527344,0.0708253848268181,107061.01175689697
CZR,1069.0,93.52999877929688,99983.56869506836,82.83999633789062,-0.11429490624319893,88555.95608520508
PENN,1928.0,51.84999847412109,99966.79705810544,44.45000076293945,-0.14271934289207444,85699.60147094727
ABNB,600.0,166.49000549316406,99894.00329589844,163.99000549316406,-0.015015916376449723,98394.00329589844
Cash,910.6880683898926,1.0,910.6880683898926,1,0.0,910.6880683898926
Total,,,1000000.0,,-0.007841727751255578,998776.9195289612
