,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
AMZN,89.0,3334.340087890625,296756.2678222656,3334.340087890625,296756.2678222656,0.0
ILMN,1051.0,380.4400024414063,399842.442565918,380.4400024414063,399842.442565918,0.0
ZG,1607.0,62.220001220703125,99987.54196166992,62.220001220703125,99987.54196166992,0.0
RCL,2600.0,76.9000015258789,199940.00396728516,76.9000015258789,199940.00396728516,0.0
Cash,3473.743682861328,1.0,3473.743682861328,1.0,3473.743682861328,0.0
Total,,,1000000.0,,1000000.0,0.0
