,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-05
AMZN,89.0,3334.340087890625,296756.2678222656,3287.139892578125,-0.01415578317398325,292555.4504394531
ILMN,1051.0,380.4400024414063,399842.442565918,367.8800048828125,-0.03301439774469628,386641.88513183594
ZG,1607.0,62.220001220703125,99987.54196166992,56.93000030517578,-0.08502090664966344,91486.51049041748
RCL,2600.0,76.9000015258789,199940.0039672852,80.61000061035156,0.04824446047929043,209586.00158691406
Cash,3473.743682861328,1.0,3473.743682861328,1,0.0,3473.743682861328
Total,,,1000000.0,,-0.02105990589672535,983743.5913314819
