,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-14
AMZN,29.0,3334.340087890625,96695.86254882812,2837.06005859375,-0.1491389648892909,82274.74169921875
AAPL,619.0,177.57000732421875,109915.8345336914,150.6199951171875,-0.15177119499592173,93233.77697753906
NVDA,680.0,294.1099853515625,199994.7900390625,213.3000030517578,-0.2747610972922562,145044.0020751953
HD,120.0,415.010009765625,49801.201171875,318.3599853515625,-0.23288600790290614,38203.1982421875
MSFT,356.0,336.32000732421875,119729.92260742188,276.44000244140625,-0.1780447299559168,98412.64086914062
GOOG,41.0,2893.590087890625,118637.19360351562,2534.820068359375,-0.12398785198797346,103927.62280273438
SOFI,3162.0,15.8100004196167,49991.221326828,7.929999828338623,-0.49841874649799156,25074.659457206726
CRWD,244.0,204.75,49959.0,183.1199951171875,-0.10564104948870578,44681.27880859375
CAT,241.0,206.7400054931641,49824.34132385255,215.44000244140625,0.042081826047594806,51921.040588378906
TSLA,141.0,1056.780029296875,149005.98413085938,766.3699951171875,-0.2748065123570804,108058.16931152344
Cash,7324.258714065552,1.0,7324.258714065552,1,0.0,7324.258714065552
Total,,,1000879.61,,-0.026569973656390578,798155.389545784
