,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-02
COST,176.0,567.7000122070312,99915.2021484375,528.0,-0.06993132174278216,92928.0
NVDA,340.0,294.1099853515625,99997.39501953124,242.1999969482422,-0.17649855832426087,82347.99896240234
GOOGL,34.0,2897.0400390625,98499.361328125,2691.429931640625,-0.07097247695907294,91508.61767578125
HD,240.0,415.010009765625,99602.40234375,327.3699951171875,-0.2111756646494667,78568.798828125
BX,772.0,129.38999938964844,99889.0795288086,130.22000122070312,0.006414729383800388,100529.84094238281
CVS,969.0,103.16000366210938,99962.04354858398,104.43000030517578,0.012310940267374892,101192.67029571533
GS,261.0,382.5499877929688,99845.54681396486,336.3800048828125,-0.12069006504619972,87795.18127441406
MRNA,393.0,253.97999572753903,99814.13832092284,147.86000061035156,-0.41782816325042127,58108.980239868164
PFE,1693.0,59.04999923706055,99971.6487083435,47.70000076293945,-0.19220996817554037,80756.1012916565
WFC,2084.0,47.97999954223633,99990.31904602052,52.220001220703125,0.0883701900566789,108826.48254394531
Cash,6038.0531935119625,1.0,6038.0531935119625,1,0.0,6038.0531935119625
Total,,,1003525.19,,0.02489824966296772,888600.7252478027
