,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-28
COST,176.0,567.7000122070312,99915.2021484375,519.25,-0.08534439169496144,91388.0
NVDA,340.0,294.1099853515625,99997.39501953124,243.8500061035156,-0.1708883810523092,82909.0020751953
GOOGL,34.0,2897.0400390625,98499.361328125,2701.139892578125,-0.0676207935834292,91838.75634765625
HD,240.0,415.010009765625,99602.40234375,315.8299865722656,-0.23898224346292474,75799.19677734375
BX,772.0,129.38999938964844,99889.0795288086,127.47000122070312,-0.014838845181252225,98406.84094238281
CVS,969.0,103.16000366210938,99962.04354858398,103.6500015258789,0.0047498821866511776,100436.85147857666
GS,261.0,382.5499877929688,99845.54681396486,341.2900085449219,-0.10785513152434423,89076.69223022461
MRNA,393.0,253.97999572753903,99814.13832092284,153.60000610351562,-0.39522793650137544,60364.80239868164
PFE,1693.0,59.04999923706055,99971.6487083435,46.93999862670898,-0.20508045329069502,79469.4176750183
WFC,2084.0,47.97999954223633,99990.31904602052,53.369998931884766,0.11233846271515002,111223.07777404785
Cash,5502.453193511962,1.0,5502.453193511962,1,0.0,5502.453193511962
Total,,,1002989.59,,-0.005187140694091541,886415.0908926391
