,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
MSFT,1002.0,336.32000732421875,336992.6473388672,336.32000732421875,336992.6473388672,0.0
V,1005.0,216.7100067138672,217793.55674743652,216.7100067138672,217793.55674743652,0.0
AMD,1001.0,143.89999389648438,144043.89389038086,143.89999389648438,144043.89389038086,0.0
PII,1009.0,109.91000366210938,110899.19369506836,109.91000366210938,110899.19369506836,0.0
LOW,734.0,258.4800109863281,189724.32806396484,258.4800109863281,189724.32806396484,0.0
Cash,546.3802642822266,1.0,546.3802642822266,1.0,546.3802642822266,0.0
Total,,,1000000.0,,1000000.0,0.0
