,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-02
AMZN,29.0,3334.340087890625,96695.86254882812,3041.050048828125,-0.08796044534498626,88190.45141601562
HD,240.0,415.010009765625,99602.40234375,327.3699951171875,-0.2111756646494667,78568.798828125
PFE,1693.0,59.04999923706055,99971.6487083435,47.70000076293945,-0.19220996817554037,80756.1012916565
PYPL,530.0,188.5800018310547,99947.40097045898,106.61000061035156,-0.43466963848127715,56503.30032348633
NKE,599.0,166.6699981689453,99835.32890319824,135.67999267578125,-0.1859363162754163,81272.31561279297
LUV,2334.0,42.84000015258789,99988.56035614014,42.31999969482422,-0.012138199250969373,98774.87928771973
SNAP,2126.0,47.02999877929688,99985.77740478516,37.369998931884766,-0.20540081008176736,79448.61772918701
HUT,12738.0,7.849999904632568,99993.29878520966,6.210000038146973,-0.2089171829821007,79102.98048591614
UBER,2384.0,41.93000030517578,99961.12072753906,34.040000915527344,-0.18817074486580687,81151.36218261719
SBUX,854.0,116.97000122070312,99892.38104248048,92.7699966430664,-0.20689069269970606,79225.57713317871
Cash,5221.878209266662,1.0,5221.878209266662,1,0.0,5221.878209266662
Total,,,1001095.66,,-0.19178373750003808,808216.2624999619
