,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-20
RCL,1300.0,76.9000015258789,99970.00198364258,81.18000030517578,0.05565668003083912,105534.00039672852
CCL,4970.0,20.1200008392334,99996.40417099,20.799999237060547,0.033797135659217714,103375.99620819092
TSLA,94.0,1056.780029296875,99337.32275390624,996.27001953125,-0.057258850553681406,93649.3818359375
TTD,1091.0,91.63999938964844,99979.23933410645,67.7300033569336,-0.2609122238319842,73893.43366241455
UAL,2284.0,43.77999877929688,99993.51721191408,42.880001068115234,-0.02055728040831395,97937.9224395752
LUV,2334.0,42.84000015258789,99988.56035614014,44.34000015258789,0.03501400547752764,103489.56035614014
ALK,1919.0,52.09999847412109,99979.89707183836,53.810001373291016,0.032821553728438424,103261.39263534546
CZR,1069.0,93.52999877929688,99983.56869506836,76.9800033569336,-0.17694852601694533,82291.62358856201
PENN,1928.0,51.84999847412109,99966.79705810544,41.93000030517578,-0.19132108892725386,80841.0405883789
ABNB,600.0,166.49000549316406,99894.00329589844,158.0,-0.050994085008379986,94800.0
Cash,910.6880683898926,1.0,910.6880683898926,1,0.0,910.6880683898926
Total,,,1000000.0,,-0.010155127703635802,939985.0397796631
