,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-11
AMZN,89.0,3334.340087890625,296756.2678222656,3307.239990234375,-0.008127574555058081,294344.3591308594
ILMN,1051.0,380.4400024414063,399842.442565918,423.7999877929688,0.11397325484519882,445413.7871704102
ZG,1607.0,62.220001220703125,99987.54196166992,57.72999954223633,-0.07216331710666679,92772.10926437378
RCL,2600.0,76.9000015258789,199940.0039672852,81.7300033569336,0.06280886521737239,212498.00872802734
Cash,3473.743682861328,1.0,3473.743682861328,1,0.0,3473.743682861328
Total,,,1000000.0,,0.08286129169154388,1048502.007976532
