,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-04
AMZN,29.0,3334.340087890625,96695.86254882812,2912.820068359375,-0.12641782434314086,84471.78198242188
AAPL,563.0,177.57000732421875,99971.91412353516,163.1699981689453,-0.08109482773732712,91864.70896911621
NVDA,340.0,294.1099853515625,99997.39501953124,229.3600006103516,-0.22015568313266343,77982.40020751955
RBLX,969.0,103.16000366210938,99962.04354858398,42.290000915527344,-0.5900542902843998,40979.010887145996
U,699.0,142.99000549316406,99950.01383972168,89.01000213623047,-0.377508925681622,62217.9914932251
MSFT,297.0,336.32000732421875,99887.04217529295,289.8599853515625,-0.13814230780468517,86088.41564941406
FSLY,2820.0,35.45000076293945,99969.00215148926,15.390000343322754,-0.5658674185583673,43399.800968170166
FB,297.0,336.3500061035156,99895.95181274414,200.05999755859372,-0.4052029316835424,59417.81927490234
IMMR,17513.0,5.710000038146973,99999.23066806792,5.309999942779541,-0.07005255563837798,92994.0289978981
MTTR,4844.0,20.63999938964844,99980.15704345705,6.849999904632568,-0.6681201498451573,33181.39953804016
Cash,4012.9870687484736,1.0,4012.9870687484736,1,0.0,4012.9870687484736
Total,,,1000321.6,,-0.030724327617104752,676610.345036602
