,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-05
AMZN,209.0,3334.340087890625,696877.0783691406,3287.139892578125,-0.01415578317398325,687012.2375488281
V,1384.0,216.7100067138672,299926.6492919922,220.0,0.015181547617580726,304480.0
Cash,3196.2723388671875,1.0,3196.2723388671875,1,0.0,3196.2723388671875
Total,,,1000000.0,,-0.0164481195873577,994688.5098876953
