,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-21
AMZN,29.0,3334.340087890625,96695.86254882812,3229.830078125,-0.03134353635526732,93665.072265625
AAPL,619.0,177.57000732421875,109915.8345336914,165.3800048828125,-0.06864899441688344,102370.22302246094
NVDA,680.0,294.1099853515625,199994.7900390625,267.3399963378906,-0.09102033370840013,181791.19750976562
HD,120.0,415.010009765625,49801.201171875,329.3699951171875,-0.2063565037787939,39524.3994140625
MSFT,356.0,336.32000732421875,119729.92260742188,299.1600036621094,-0.11049001799731306,106500.96130371094
GOOG,41.0,2893.590087890625,118637.19360351562,2729.570068359375,-0.05668391670874762,111912.37280273438
SOFI,3162.0,15.8100004196167,49991.221326828,9.56999969482422,-0.3946869423893261,30260.339035034187
CRWD,244.0,204.75,49959.0,204.1300048828125,-0.003028059180402942,49807.72119140625
CAT,241.0,206.7400054931641,49824.34132385255,223.7100067138672,0.08208378044792197,53914.11161804199
TSLA,141.0,1056.780029296875,149005.98413085938,921.1599731445312,-0.12833328828382395,129883.5562133789
Cash,7324.258714065552,1.0,7324.258714065552,1,0.0,7324.258714065552
Total,,,1000879.61,,0.0020181223579838203,906954.2130902862
