,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-14
ENJY,21645.0,4.619999885559082,99999.89752292632,3.440000057220459,-0.2554112245818436,74458.80123853683
COIN,396.0,252.3699951171875,99938.51806640624,153.19000244140625,-0.3929943915469317,60663.240966796875
DIS,645.0,154.88999938964844,99904.04960632324,129.02999877929688,-0.1669572000274656,83224.34921264648
GOOGL,34.0,2897.0400390625,98499.361328125,2519.02001953125,-0.13048491371682236,85646.6806640625
RBLX,969.0,103.16000366210938,99962.04354858398,36.68000030517578,-0.6444358375042563,35542.92029571533
CCL,4970.0,20.1200008392334,99996.40417099,17.1200008392334,-0.14910536157384713,85086.40417098999
WMT,691.0,144.69000244140625,99980.79168701172,144.0500030517578,-0.004423245413293975,99538.55210876465
DKNG,3640.0,27.46999931335449,99990.79750061034,15.260000228881836,-0.44448487039228957,55546.40083312988
HD,240.0,415.010009765625,99602.40234375,318.3599853515625,-0.23288600790290614,76406.396484375
TWLO,379.0,263.3399963378906,99805.85861206056,125.16999816894533,-0.5246829197630118,47439.42930603028
Cash,2775.875613212585,1.0,2775.875613212585,1,0.0,2775.875613212585
Total,,,1000456.0,,-0.020872848426697233,706329.0508942604
