,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-29
RCL,1300.0,76.9000015258789,99970.00198364258,80.94999694824219,0.05266573916777295,105234.99603271484
CCL,4970.0,20.1200008392334,99996.40417099,19.93000030517578,-0.00944336610996177,99052.10151672363
TSLA,94.0,1056.780029296875,99337.32275390624,1099.5699462890625,0.04049084559315319,103359.57495117188
TTD,1091.0,91.63999938964844,99979.23933410645,73.33000183105469,-0.19980355391252902,80003.03199768066
UAL,2284.0,43.77999877929688,99993.51721191408,45.66999816894531,0.043170384704126485,104310.2758178711
LUV,2334.0,42.84000015258789,99988.56035614014,45.33000183105469,0.058123288272593054,105800.22427368164
ALK,1919.0,52.09999847412109,99979.89707183836,58.38999938964844,0.12072938771105135,112050.40882873535
CZR,1069.0,93.52999877929688,99983.56869506836,81.2300033569336,-0.13150855963750874,86834.87358856201
PENN,1928.0,51.84999847412109,99966.79705810544,44.34999847412109,-0.14464802740048932,85506.79705810545
ABNB,600.0,166.49000549316406,99894.00329589844,175.52000427246094,0.054237482619745814,105312.00256347656
Cash,910.6880683898926,1.0,910.6880683898926,1,0.0,910.6880683898926
Total,,,1000000.0,,-0.011625025302887004,988374.974697113
