,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-25
DKNG,3640.0,27.46999931335449,99990.79750061034,19.31999969482422,-0.29668728876043915,70324.79888916016
TSP,2789.0,35.849998474121094,99985.64574432372,18.280000686645508,-0.49009758815356086,50982.92191505432
PD,2877.0,34.75,99975.75,30.76000022888184,-0.11482013729836427,88496.52065849306
FATE,1709.0,58.5099983215332,99993.58713150024,39.869998931884766,-0.31857801955855525,68137.82817459106
SI,674.0,148.1999969482422,99886.79794311523,102.0500030517578,-0.3114034740000835,68781.70205688475
NRIX,3454.0,28.950000762939453,99993.30263519289,19.5,-0.32642488821751403,67353.0
TDOC,1089.0,91.81999969482422,99991.97966766356,72.02999877929688,-0.21553039622415582,78440.6686706543
EXAS,1284.0,77.83000183105469,99933.72235107422,69.18000030517578,-0.11113968035945099,88827.1203918457
BEAM,1254.0,79.69000244140625,99931.26306152344,66.61000061035156,-0.16413604505373225,83528.94076538086
U,699.0,142.99000549316406,99950.01383972168,104.06999969482422,-0.2721868963086409,72744.92978668213
Cash,367.1401252746582,1.0,367.1401252746582,1,0.0,367.1401252746582
Total,,,1000000.0,,-0.03195277817420594,737985.571434021
