,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-27
APPS,4099.0,60.9900016784668,249998.0168800354,37.060001373291016,-0.39235939738667913,151908.94562911987
BUR,4734.0,10.5600004196167,49991.041986465454,8.989999771118164,-0.1486742979273028,42558.65891647339
RAPT,4083.0,36.72999954223633,149968.58813095093,20.1299991607666,-0.4519466536442822,82190.78657341003
CVNA,647.0,231.7899932861328,149968.12565612793,141.67999267578125,-0.3887570784779971,91666.95526123047
CURV,8097.0,9.880000114440918,79998.36092662811,8.5,-0.1396761233255318,68824.5
FSLY,1974.0,35.45000076293945,69978.30150604248,24.46999931335449,-0.3097320511503008,48303.77864456176
AYX,826.0,60.5,49973.0,51.09000015258789,-0.1555371875605307,42200.3401260376
CRCT,2263.0,22.09000015258789,49989.6703453064,19.0,-0.13988230562442483,42997.0
W,789.0,189.97000122070312,149886.33096313477,140.52000427246094,-0.26030424083006787,110870.28337097168
Cash,248.56360530853271,1.0,248.56360530853271,1,0.0,248.56360530853271
Total,,,1000000.0,,-0.021276076051115034,681769.8121271133
