,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-07
RIVN,1205.0,103.69000244140624,124946.45294189452,42.43000030517578,-0.5907995051967293,51128.15036773682
FIGS,4535.0,27.559999465942383,124984.5975780487,13.5600004196167,-0.5079825586943991,61494.60190296173
NVDA,425.0,294.1099853515625,124996.74377441406,213.5200042724609,-0.27401307365599603,90746.00181579588
CCL,6212.0,20.1200008392334,124985.44521331789,15.529999732971191,-0.22813125819119473,96472.35834121704
TSLA,118.0,1056.780029296875,124700.04345703124,804.5800170898438,-0.23864948732503166,94940.44201660156
TRMB,1433.0,87.19000244140625,124943.27349853516,63.540000915527344,-0.2712467125089516,91052.82131195068
PRNT,3644.0,34.29999923706055,124989.19721984863,27.270000457763672,-0.20495623719143075,99371.88166809082
KTOS,6443.0,19.39999961853028,124994.19754219058,20.729999542236328,0.06855669844630685,133563.38705062866
Cash,477.0487747192383,1.0,477.0487747192383,1,0.0,477.0487747192383
Total,,,1000017.0,,-0.038359279710263205,719246.6932497025
