,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-07
RIVN,964.0,103.69000244140624,99957.1623535156,86.27999877929688,-0.16790436157957944,83173.91882324219
LCID,2628.0,38.04999923706055,99995.39799499512,41.97999954223633,0.10328516120830766,110323.43879699707
APPS,1639.0,60.9900016784668,99962.61275100708,52.40999984741211,-0.140678825953926,85899.98974990845
BUR,9469.0,10.5600004196167,99992.64397335052,10.59000015258789,0.0028408836912034996,100276.71144485474
FIGS,3628.0,27.559999465942383,99987.67806243896,22.530000686645508,-0.1825108445852025,81738.8424911499
AMZN,29.0,3334.340087890625,96695.86254882812,3251.080078125,-0.024970461192006632,94281.322265625
COST,176.0,567.7000122070312,99915.2021484375,536.1799926757812,-0.055522316106195846,94367.6787109375
AAPL,563.0,177.57000732421875,99971.91412353516,172.1699981689453,-0.030410592625666477,96931.70896911621
NVDA,340.0,294.1099853515625,99997.39501953124,272.4700012207031,-0.07357786273387523,92639.80041503906
ROKU,438.0,228.1999969482422,99951.59866333008,180.41000366210935,-0.20942153341470926,79019.58160400389
Cash,3572.5323610305786,1.0,3572.5323610305786,1,0.0,3572.5323610305786
Total,,,1000000.0,,-0.008727026294521933,922225.5256319046
