,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-23
MSFT,1002.0,336.32000732421875,336992.6473388672,280.2699890136719,-0.16665680628543045,280830.5289916992
V,1005.0,216.7100067138672,217793.5567474365,215.9499969482422,-0.0035070358639619492,217029.7469329834
AMD,1001.0,143.89999389648438,144043.89389038086,109.76000213623048,-0.23724804175330805,109869.76213836671
PII,1009.0,109.91000366210938,110899.19369506836,120.22000122070312,0.09380399613386636,121301.98123168945
LOW,734.0,258.4800109863281,189724.32806396484,215.08999633789065,-0.16786603529946653,157876.05731201175
Cash,2131.6952642822266,1.0,2131.6952642822266,1,0.0,2131.6952642822266
Total,,,1001585.315,,-0.023329238702020527,889039.7718710327
