,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-15
ENJY,21645.0,4.619999885559082,99999.89752292632,3.289999961853028,-0.28787877849592325,71212.04917430879
COIN,396.0,252.3699951171875,99938.51806640624,208.9499969482422,-0.172048971783604,82744.1987915039
DIS,645.0,154.88999938964844,99904.04960632324,154.72000122070312,-0.0010975412848808208,99794.40078735352
GOOGL,34.0,2897.0400390625,98499.361328125,2732.169921875,-0.056909851077119766,92893.77734375
RBLX,969.0,103.16000366210938,99962.04354858398,73.30000305175781,-0.28945327210490523,71027.70295715332
CCL,4970.0,20.1200008392334,99996.40417099,22.780000686645508,0.1322067463449199,113216.60341262817
WMT,691.0,144.69000244140625,99980.79168701172,134.3699951171875,-0.071324950930165,92849.66662597656
DKNG,3640.0,27.46999931335449,99990.79750061034,23.729999542236328,-0.13614852073549077,86377.19833374023
HD,240.0,415.010009765625,99602.40234375,353.260009765625,-0.14879159188201996,84782.40234375
TWLO,379.0,263.3399963378906,99805.85861206056,199.3699951171875,-0.24291790882621367,75561.22814941406
Cash,2319.875613212585,1.0,2319.875613212585,1,0.0,2319.875613212585
Total,,,1000000.0,,0.028638167078099297,872779.1035327911
