,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-11
AMZN,29.0,3334.340087890625,96695.86254882812,3307.239990234375,-0.008127574555058081,95909.95971679688
AZTA,969.0,103.11000061035156,99913.59059143066,94.19000244140624,-0.08650953463431377,91270.11236572264
QRVO,639.0,156.38999938964844,99933.20960998537,151.72000122070312,-0.029861232733366494,96949.0807800293
DFS,865.0,115.55999755859376,99959.3978881836,128.5800018310547,0.112668782861987,111221.7015838623
THS,2467.0,40.52999877929688,99987.5069885254,43.400001525878906,0.07081181428626282,107067.80376434326
BBWI,1432.0,69.79000091552734,99939.28131103516,58.83000183105469,-0.15704254106169813,84244.56262207031
IGT,3459.0,28.90999984741211,99999.68947219849,28.739999771118164,-0.005880320899038782,99411.65920829773
FIVN,728.0,137.32000732421875,99968.96533203124,138.3699951171875,0.007646284131704872,100733.3564453125
ADSK,355.0,281.19000244140625,99822.45086669922,270.6300048828125,-0.03755466932290463,96073.65173339844
MARA,3043.0,32.86000061035156,99992.9818572998,29.57999992370605,-0.099817426224035,90011.93976783751
Cash,3787.063533782959,1.0,3787.063533782959,1,0.0,3787.063533782959
Total,,,1000000.0,,0.01285993451209988,976680.8915214539
