,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-22
AAPL,281.0,177.57000732421875,49897.17205810547,168.82000732421875,-0.04927633969189227,47438.42205810547
NVDA,340.0,294.1099853515625,99997.39501953124,265.239990234375,-0.09816054046134437,90181.5966796875
GOOGL,51.0,2897.0400390625,147749.0419921875,2797.360107421875,-0.03440750914608759,142665.36547851562
RBLX,1211.0,103.16000366210938,124926.76443481444,50.5099983215332,-0.5103722709532482,61167.60796737671
MSFT,446.0,336.32000732421875,149998.72326660156,304.0599975585937,-0.09592057880316884,135610.75891113278
CRWD,366.0,204.75,74938.5,217.05999755859372,0.060122088198259815,79443.9591064453
TSLA,47.0,1056.780029296875,49668.661376953125,993.97998046875,-0.05942584746790569,46717.05908203125
PYPL,397.0,188.5800018310547,74866.26072692871,117.87000274658205,-0.37496022058489753,46794.391090393074
CRM,393.0,254.1300048828125,99873.09191894533,218.2100067138672,-0.14134497099431143,85756.5326385498
NFLX,207.0,602.4400024414062,124705.0805053711,382.9200134277344,-0.3643848152912498,79264.44277954102
Cash,3731.248700561524,1.0,3731.248700561524,1,0.0,3731.248700561524
Total,,,1000351.94,,0.03008434900831447,818771.38449234
