,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-23
AMZN,59.0,3334.340087890625,196726.06518554688,2896.5400390625,-0.1313003584781559,170895.8623046875
DIS,968.0,154.88999938964844,149933.5194091797,145.8699951171875,-0.05823490417718835,141202.1552734375
MSFT,297.0,336.32000732421875,99887.04217529295,280.2699890136719,-0.16665680628543034,83240.18673706055
FB,297.0,336.3500061035156,99895.95181274414,198.4499969482422,-0.40998961395241684,58939.64909362793
INTC,1941.0,51.5,99961.5,44.650001525878906,-0.1330096791091474,86665.65296173096
FDX,386.0,258.6400146484375,99835.04565429688,214.83999633789065,-0.16934741660173136,82928.2385864258
ADBE,264.0,567.0599975585938,149703.83935546875,429.4500122070313,-0.2426727082566662,113374.80322265626
AB,2047.0,48.84000015258789,99975.4803123474,42.2400016784668,-0.1351351034705386,86465.28343582153
Cash,7614.7910951232925,1.0,7614.7910951232925,1,0.0,7614.7910951232925
Total,,,1003533.235,,-0.018089231976032072,831326.6227105713
