,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-03
MU,1073.0,93.1500015258789,99949.95163726808,89.18000030517578,-0.042619443431787696,95690.14032745361
TTD,1091.0,91.63999938964844,99979.23933410645,79.27999877929688,-0.13487560773322893,86494.47866821289
FTNT,278.0,359.3999938964844,99913.19830322266,336.3500061035156,-0.06413463601673763,93505.30169677734
TCN,6544.0,15.279999732971191,99992.31825256348,14.90999984741211,-0.024214652619443222,97571.03900146484
TENB,1815.0,55.06999969482422,99952.04944610596,55.7599983215332,0.012529483031281652,101204.39695358276
UCTT,1743.0,57.36000061035156,99978.48106384276,42.959999084472656,-0.2510460490350863,74879.27840423584
EPAM,149.0,668.4500122070312,99599.05181884766,212.97999572753903,-0.6813823145513307,31734.019363403317
ZIM,1698.0,58.86000061035156,99944.28103637695,74.23999786376953,0.2612979458704445,126059.51637268066
LSCC,1297.0,77.05999755859375,99946.8168334961,60.20000076293945,-0.21879051816520678,78079.40098953247
FIVE,483.0,206.88999938964844,99927.8697052002,157.82000732421875,-0.23717913968868654,76227.06353759766
Cash,1382.122568969727,1.0,1382.122568969727,1,0.0,1382.122568969727
Total,,,1000565.38,,-0.022955236581762795,862826.7578839111
