,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-16
AMZN,29.0,3334.340087890625,96695.86254882812,3162.010009765625,-0.05168341368382123,91698.29028320312
AAPL,563.0,177.57000732421875,99971.91412353516,172.5500030517578,-0.02827056408966122,97145.65171813965
NVDA,340.0,294.1099853515625,99997.39501953124,265.1099853515625,-0.09860256857765304,90137.39501953125
RBLX,969.0,103.16000366210938,99962.04354858398,53.869998931884766,-0.47780150233097374,52200.02896499634
U,699.0,142.99000549316406,99950.01383972168,110.27999877929688,-0.22875729391751765,77085.71914672852
MSFT,297.0,336.32000732421875,99887.04217529295,299.5,-0.1094790869480552,88951.5
FSLY,2820.0,35.45000076293945,99969.00215148926,28.93000030517578,-0.18392102446948,81582.6008605957
FB,297.0,336.3500061035156,99895.95181274414,216.5399932861328,-0.356206364332605,64312.378005981445
IMMR,17513.0,5.710000038146973,99999.23066806792,4.96999979019165,-0.12959724045736942,87039.60632562637
MTTR,4844.0,20.63999938964844,99980.15704345705,7.920000076293945,-0.6162790547239039,38364.48036956787
Cash,3999.3870687484737,1.0,3999.3870687484737,1,0.0,3999.3870687484737
Total,,,1000308.0,,-0.03420146346017694,772517.0377631187
