,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-03
ENJY,21645.0,4.619999885559082,99999.89752292632,3.0,-0.35064933456444014,64935.0
COIN,396.0,252.3699951171875,99938.51806640624,181.30999755859372,-0.28157070544617313,71798.75903320311
DIS,645.0,154.88999938964844,99904.04960632324,140.02999877929688,-0.09593905784045531,90319.34921264648
GOOGL,34.0,2897.0400390625,98499.361328125,2861.800048828125,-0.012164136414828053,97301.20166015625
RBLX,969.0,103.16000366210938,99962.04354858398,60.66999816894531,-0.4118844899650834,58789.22822570801
CCL,4970.0,20.1200008392334,99996.40417099,20.34000015258789,0.010934359054572962,101089.80075836182
WMT,691.0,144.69000244140625,99980.79168701172,140.99000549316406,-0.025571890841183276,97424.09379577637
DKNG,3640.0,27.46999931335449,99990.79750061034,20.549999237060547,-0.25191118490235265,74801.99722290039
HD,240.0,415.010009765625,99602.40234375,364.80999755859375,-0.12096096726770877,87554.3994140625
TWLO,379.0,263.3399963378906,99805.85861206056,180.2100067138672,-0.31567551750612033,68299.59254455566
Cash,2319.875613212585,1.0,2319.875613212585,1,0.0,2319.875613212585
Total,,,1000000.0,,-0.031138228910104093,814633.2974805832
