,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-22
MTTR,4844.0,20.63999938964844,99980.15704345705,8.319999694824219,-0.5968992276716374,40302.078521728516
ATVI,1503.0,66.52999877929688,99994.5881652832,79.30000305175781,0.19194355188286538,119187.90458679199
AMD,694.0,143.89999389648438,99866.59576416016,114.77999877929688,-0.20236272656227627,79657.31915283203
OLPX,3432.0,29.1299991607666,99974.15711975098,16.65999984741211,-0.42808100489579026,57177.11947631836
SQ,619.0,161.50999450683594,99974.68659973145,141.7899932861328,-0.1220977146393778,87768.00584411621
NOVA,3581.0,27.920000076293945,99981.52027320862,25.6299991607666,-0.08202008987355691,91781.0269947052
DE,291.0,342.8900146484375,99780.99426269533,427.5499877929688,0.24690124975302208,124417.04644775392
FDX,386.0,258.6400146484375,99835.04565429688,226.57000732421875,-0.12399476302153267,87456.02282714844
PDD,1715.0,58.29999923706055,99984.49869155884,47.52999877929688,-0.18473414406011368,81513.94790649416
AMGN,444.0,224.97000122070312,99886.6805419922,236.47000122070312,0.05111792655731939,104992.68054199219
Cash,2197.4858838653563,1.0,2197.4858838653563,1,0.0,2197.4858838653563
Total,,,1001456.41,,0.027058441227171715,876450.6381837464
