,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-14
AMZN,89.0,3334.340087890625,296756.2678222656,2837.06005859375,-0.1491389648892909,252498.34521484375
ILMN,1051.0,380.4400024414063,399842.442565918,306.1099853515625,-0.19537907846925684,321721.5946044922
ZG,1607.0,62.220001220703125,99987.54196166992,45.0099983215332,-0.2765992054246932,72331.06730270386
RCL,2600.0,76.9000015258789,199940.0039672852,68.12000274658203,-0.1141742341362918,177112.00714111328
Cash,3473.743682861328,1.0,3473.743682861328,1,0.0,3473.743682861328
Total,,,1000000.0,,-0.009893809971644685,827136.7579460144
