,open,high,low,close,adjclose,volume,ticker
2021-12-31,216.80999755859375,217.97999572753906,215.49000549316406,216.7100067138672,216.35800170898438,4723300,V
2022-01-03,217.52000427246094,222.05999755859375,217.00999450683594,221.42999267578125,221.07032775878906,7694500,V
2022-01-04,222.0,226.7899932861328,221.80999755859375,222.4600067138672,222.09866333007812,10629300,V
2022-01-05,222.63999938964844,225.27000427246094,219.9199981689453,220.0,219.6426544189453,9594600,V
2022-01-06,217.8000030517578,221.91000366210938,217.5500030517578,219.75,219.39306640625,7877500,V
2022-01-07,217.30999755859375,220.1999969482422,215.63999938964844,216.9600067138672,216.60760498046875,10702100,V
2022-01-10,213.97999572753906,214.1999969482422,206.5,211.97000122070312,211.62570190429688,11978600,V
2022-01-11,211.4199981689453,214.9499969482422,208.74000549316406,214.3800048828125,214.0317840576172,8803100,V
2022-01-12,214.47999572753906,217.5800018310547,213.80999755859375,215.7100067138672,215.35963439941406,6923300,V
2022-01-13,216.85000610351562,220.47999572753906,214.66000366210938,215.0,214.65077209472656,8867700,V
2022-01-14,214.1699981689453,218.25,213.7100067138672,214.6699981689453,214.32131958007812,8838100,V
2022-01-18,215.8800048828125,216.91000366210938,214.3300018310547,215.7100067138672,215.35963439941406,9099300,V
2022-01-19,213.0,218.22999572753906,212.11000061035156,214.67999267578125,214.33128356933594,9399800,V
2022-01-20,214.72000122070312,219.60000610351562,213.94000244140625,214.35000610351562,214.00184631347656,8532700,V
2022-01-21,215.4600067138672,215.60000610351562,205.82000732421875,205.92999267578125,205.5955047607422,16200200,V
2022-01-24,202.17999267578125,202.72000122070312,195.64999389648438,201.85000610351562,201.5221405029297,16054000,V
2022-01-25,199.6199951171875,205.3800048828125,196.99000549316406,202.0,201.67189025878906,12125500,V
2022-01-26,204.27999877929688,210.86000061035156,203.6699981689453,205.8699951171875,205.5355987548828,10817600,V
2022-01-27,209.5,210.9600067138672,205.85000610351562,206.14999389648438,205.8151397705078,12009800,V
2022-01-28,220.63999938964844,228.1199951171875,216.10000610351562,228.0,227.62966918945312,26425300,V
2022-01-31,225.5500030517578,226.3800048828125,222.0500030517578,226.1699981689453,225.80262756347656,12380600,V
2022-02-01,226.89999389648438,234.61000061035156,226.4199981689453,232.36000061035156,231.98257446289062,12247200,V
2022-02-02,231.3000030517578,235.85000610351562,230.00999450683594,235.4199981689453,235.03761291503906,10590500,V
2022-02-03,233.0399932861328,233.49000549316406,230.5500030517578,231.5399932861328,231.16390991210938,9968000,V
2022-02-04,228.5,230.22000122070312,224.9499969482422,228.38999938964844,228.01902770996094,10848100,V
2022-02-07,228.0,229.9199981689453,226.00999450683594,227.16000366210938,226.79103088378906,5984500,V
2022-02-08,226.25999450683594,228.5,224.75,227.94000244140625,227.56976318359375,7542000,V
2022-02-09,230.1300048828125,233.14999389648438,230.1199951171875,230.8699951171875,230.4949951171875,7772800,V
2022-02-10,228.02999877929688,229.9499969482422,224.8699951171875,225.58999633789062,225.58999633789062,6794600,V
2022-02-11,227.25,229.10000610351562,223.5399932861328,224.69000244140625,224.69000244140625,7535200,V
2022-02-14,223.2899932861328,227.25999450683594,222.80999755859375,225.33999633789062,225.33999633789062,8280800,V
2022-02-15,227.27000427246094,229.2899932861328,224.91000366210938,227.82000732421875,227.82000732421875,9461700,V
2022-02-16,227.5,229.8800048828125,225.60000610351562,228.82000732421875,228.82000732421875,9561300,V
2022-02-17,228.39999389648438,228.80999755859375,224.1699981689453,224.61000061035156,224.61000061035156,8131200,V
