,open,high,low,close,adjclose,volume,ticker
2021-12-31,264.9100036621094,270.25,263.0899963378906,263.3399963378906,263.3399963378906,1349500,TWLO
2022-01-03,264.0,266.739990234375,255.8000030517578,262.2900085449219,262.2900085449219,2035200,TWLO
2022-01-04,262.2900085449219,262.57000732421875,243.75999450683594,251.0,251.0,2274400,TWLO
2022-01-05,246.0500030517578,249.94000244140625,234.17999267578125,235.19000244140625,235.19000244140625,2793900,TWLO
2022-01-06,232.7100067138672,244.57000732421875,231.00999450683594,238.64999389648438,238.64999389648438,2109200,TWLO
2022-01-07,239.1199951171875,244.80999755859375,228.5500030517578,230.1999969482422,230.1999969482422,2728800,TWLO
2022-01-10,225.0,228.83999633789062,217.69000244140625,227.52000427246094,227.52000427246094,4572700,TWLO
2022-01-11,227.41000366210938,236.197998046875,223.9499969482422,234.17999267578125,234.17999267578125,2359200,TWLO
2022-01-12,238.49000549316406,240.75,224.66000366210938,227.11000061035156,227.11000061035156,2538900,TWLO
2022-01-13,228.94000244140625,230.19000244140625,217.07000732421875,217.16000366210938,217.16000366210938,2984900,TWLO
2022-01-14,216.74000549316406,220.9199981689453,210.89999389648438,215.16000366210938,215.16000366210938,2467200,TWLO
2022-01-18,209.60000610351562,215.0,206.4499969482422,207.24000549316406,207.24000549316406,2973600,TWLO
2022-01-19,207.24000549316406,212.41000366210938,203.2899932861328,203.69000244140625,203.69000244140625,2782300,TWLO
2022-01-20,205.52000427246094,212.0,201.11000061035156,201.49000549316406,201.49000549316406,2814700,TWLO
2022-01-21,201.94000244140625,203.42999267578125,191.47999572753906,192.05999755859375,192.05999755859375,3127000,TWLO
2022-01-24,185.3800048828125,198.10000610351562,175.36000061035156,197.5,197.5,4520600,TWLO
2022-01-25,195.9499969482422,198.33099365234375,183.02000427246094,185.83999633789062,185.83999633789062,3068500,TWLO
2022-01-26,195.57000732421875,197.7949981689453,176.50999450683594,179.11000061035156,179.11000061035156,3111300,TWLO
2022-01-27,183.55999755859375,184.47999572753906,172.61000061035156,176.75,176.75,3822600,TWLO
2022-01-28,180.0,190.5800018310547,173.77000427246094,188.22999572753906,188.22999572753906,4454600,TWLO
2022-01-31,190.63999938964844,206.5800018310547,190.63999938964844,206.1199951171875,206.1199951171875,3307400,TWLO
2022-02-01,208.22999572753906,211.30999755859375,203.0,210.57000732421875,210.57000732421875,2601000,TWLO
2022-02-02,212.3699951171875,214.13999938964844,193.0,197.39999389648438,197.39999389648438,3279000,TWLO
2022-02-03,190.9199981689453,191.0989990234375,178.9499969482422,180.2100067138672,180.2100067138672,3829000,TWLO
2022-02-04,181.94000244140625,194.72999572753906,179.0,192.0,192.0,3209900,TWLO
2022-02-07,190.72000122070312,203.49000549316406,190.72000122070312,195.77999877929688,195.77999877929688,3626800,TWLO
2022-02-08,190.14999389648438,199.1199951171875,188.4600067138672,198.47999572753906,198.47999572753906,3266700,TWLO
2022-02-09,203.99000549316406,205.5,195.2100067138672,202.00999450683594,202.00999450683594,8845900,TWLO
2022-02-10,227.8000030517578,233.60000610351562,203.66000366210938,205.91000366210938,205.91000366210938,22474300,TWLO
2022-02-11,208.0,211.89999389648438,187.2100067138672,190.8800048828125,190.8800048828125,6843700,TWLO
2022-02-14,191.0,202.5399932861328,188.48800659179688,195.7100067138672,195.7100067138672,4919800,TWLO
2022-02-15,199.39999389648438,202.69000244140625,191.89999389648438,199.3699951171875,199.3699951171875,3612700,TWLO
2022-02-16,196.6699981689453,196.72000122070312,184.1699981689453,186.99000549316406,186.99000549316406,3615700,TWLO
2022-02-17,185.0,185.0,167.625,170.1300048828125,170.1300048828125,6211000,TWLO
2022-02-18,172.72999572753906,173.39999389648438,157.72000122070312,158.3300018310547,158.3300018310547,7604100,TWLO
2022-02-22,156.77999877929688,166.08999633789062,154.3470001220703,161.22999572753906,161.22999572753906,4513900,TWLO
2022-02-23,160.1199951171875,163.77999877929688,156.2100067138672,157.14999389648438,157.14999389648438,3118900,TWLO
2022-02-24,149.47999572753906,165.77000427246094,147.0,165.02000427246094,165.02000427246094,4115600,TWLO
2022-02-25,164.39999389648438,167.5399932861328,156.35000610351562,167.17999267578125,167.17999267578125,3116900,TWLO
2022-02-28,169.02000427246094,175.86000061035156,166.40199279785156,174.8000030517578,174.8000030517578,3149300,TWLO
2022-03-01,175.00999450683594,176.781005859375,168.24000549316406,169.72000122070312,169.72000122070312,2280200,TWLO
2022-03-02,170.77000427246094,170.77000427246094,160.19000244140625,166.0800018310547,166.0800018310547,2563900,TWLO
2022-03-03,165.82000732421875,166.8699951171875,155.0749969482422,156.89999389648438,156.89999389648438,2273900,TWLO
2022-03-04,158.6699981689453,162.7899932861328,147.2899932861328,148.82000732421875,148.82000732421875,3355900,TWLO
2022-03-07,150.0,154.0,139.92999267578125,140.0,140.0,5441800,TWLO
2022-03-08,138.13999938964844,143.47000122070312,134.10000610351562,137.16000366210938,137.16000366210938,3706300,TWLO
2022-03-09,141.5500030517578,149.03500366210938,141.5500030517578,145.0399932861328,145.0399932861328,4806100,TWLO
2022-03-10,142.61000061035156,142.9080047607422,136.00999450683594,140.86000061035156,140.86000061035156,3492600,TWLO
2022-03-11,142.7100067138672,142.7100067138672,131.75,132.47999572753906,132.47999572753906,4899600,TWLO
2022-03-14,131.0,135.85000610351562,124.0,125.16999816894531,125.16999816894531,4464800,TWLO
2022-03-15,126.25,129.6300048828125,123.05000305175781,128.92999267578125,128.92999267578125,4146100,TWLO
2022-03-16,133.0,144.63999938964844,132.14999389648438,144.08999633789062,144.08999633789062,6276900,TWLO
2022-03-17,142.1999969482422,151.52000427246094,139.77999877929688,150.27999877929688,150.27999877929688,4411400,TWLO
2022-03-18,150.61000061035156,159.92999267578125,148.85000610351562,159.66000366210938,159.66000366210938,4444100,TWLO
2022-03-21,159.02000427246094,161.05999755859375,153.64999389648438,157.44000244140625,157.44000244140625,3712100,TWLO
2022-03-22,156.89999389648438,166.97999572753906,155.84500122070312,163.13999938964844,163.13999938964844,3113500,TWLO
2022-03-23,160.10000610351562,166.44000244140625,156.66000366210938,161.1999969482422,161.1999969482422,1762400,TWLO
2022-03-24,162.0,162.3699951171875,155.32000732421875,161.94000244140625,161.94000244140625,2151800,TWLO
2022-03-25,162.3000030517578,163.83999633789062,152.8300018310547,154.82000732421875,154.82000732421875,2622100,TWLO
2022-03-28,156.50999450683594,161.4499969482422,152.33999633789062,160.74000549316406,160.74000549316406,1950000,TWLO
